truth,mean_estimate,mean_bias,mean_abs_bias,rmse,empirical_sd,mean_se,ci_coverage_95,n_reps,condition,estimator,mean_treatment_rate,mean_min_propensity
1.0,1.0057659082257875,0.005765908225787697,0.04708103009481225,0.060889249368150294,0.060921003584361956,0.056535092090872006,0.92,100,linear_high_confounding,aipw,0.5001675,0.009999999999999998
1.0,2.4719858849454432,1.471985884945443,1.471985884945443,1.4727072015676301,0.046319663020841485,0.04597244552626671,0.0,100,linear_high_confounding,difference-in-means,0.5001675,0.009999999999999998
1.0,1.0478524635845645,0.04785246358456465,0.0841961179567617,0.1036224164374425,0.09237465937238581,0.1208329666372617,0.96,100,linear_high_confounding,ipw,0.5001675,0.009999999999999998
1.0,1.0031640184201704,0.0031640184201705336,0.03375410740617833,0.0439982744357442,0.04410544230785583,0.01112176473774222,0.42,100,linear_high_confounding,outcome-regression,0.5001675,0.009999999999999998
1.0,1.003193516119367,0.0031935161193671424,0.029475930966444793,0.036356791884556726,0.03639871474771004,0.03468544631475135,0.94,100,linear_low_confounding,aipw,0.500655,0.1340812843909638
1.0,1.57994317637283,0.5799431763728292,0.5799431763728292,0.5825889924576036,0.05573971175041563,0.05084755591925919,0.0,100,linear_low_confounding,difference-in-means,0.500655,0.1340812843909638
1.0,1.0000766332474256,7.663324742567257e-05,0.029365300837593828,0.03669674858946773,0.036881539610274315,0.055642409038384875,1.0,100,linear_low_confounding,ipw,0.500655,0.1340812843909638
1.0,1.0036247920570565,0.0036247920570564264,0.029790402483635424,0.03666050596762657,0.03666464981154899,0.011165900624351662,0.45,100,linear_low_confounding,outcome-regression,0.500655,0.1340812843909638
1.0,1.0043060463903766,0.004306046390376607,0.028748745129939978,0.0354290583558004,0.035343568278388734,0.03864878475862029,0.98,100,linear_moderate_confounding,aipw,0.5005525,0.02543804106062979
1.0,2.0068255368860592,1.0068255368860595,1.0068255368860595,1.0080906237071414,0.050742406312027116,0.04910852948396216,0.0,100,linear_moderate_confounding,difference-in-means,0.5005525,0.02543804106062979
1.0,0.996763192972856,-0.0032368070271439555,0.03803233718302387,0.04732088157024859,0.04744788648798054,0.07058182905325876,1.0,100,linear_moderate_confounding,ipw,0.5005525,0.02543804106062979
1.0,1.0051504238262203,0.005150423826220373,0.028124206220405613,0.03555669142440932,0.03535893068594552,0.011148462685778338,0.46,100,linear_moderate_confounding,outcome-regression,0.5005525,0.02543804106062979
1.0,1.351774104529803,0.35177410452980296,0.35177410452980296,0.35556703845537574,0.052456558028397215,0.05142037108986097,0.0,40,nonlinear_gbm_learner,aipw,0.46758124999999995,0.04801895228766947
1.0,3.250542900218966,2.250542900218966,2.250542900218966,2.2514463108729146,0.06458661461119328,0.0718510735856874,0.0,40,nonlinear_gbm_learner,difference-in-means,0.46758124999999995,0.04801895228766947
1.0,1.6824256782815816,0.6824256782815814,0.6824256782815814,0.6854770525543186,0.0654294154853025,0.09425202046591041,0.0,40,nonlinear_gbm_learner,ipw,0.46758124999999995,0.04801895228766947
1.0,1.569393516926328,0.569393516926328,0.569393516926328,0.5707260432946138,0.039473969053202364,0.019952082049818538,0.0,40,nonlinear_gbm_learner,outcome-regression,0.46758124999999995,0.04801895228766947
1.0,2.8731579492937995,1.8731579492937989,1.8731579492937989,1.8747422331170878,0.07744491447523126,0.08149172383292749,0.0,100,nonlinear_linear_learner,aipw,0.4651775000000001,0.07155022158591554
1.0,3.2401778408137587,2.2401778408137587,2.2401778408137587,2.2414593130521485,0.07616498304096696,0.07164973386166217,0.0,100,nonlinear_linear_learner,difference-in-means,0.4651775000000001,0.07155022158591554
1.0,2.6667639554941944,1.6667639554941942,1.6667639554941942,1.6678629453025475,0.06084191287476679,0.07297987294549801,0.0,100,nonlinear_linear_learner,ipw,0.4651775000000001,0.07155022158591554
1.0,2.7030605357127975,1.7030605357127977,1.7030605357127977,1.7041083594036652,0.06005142818754868,0.01739897607320706,0.0,100,nonlinear_linear_learner,outcome-regression,0.4651775000000001,0.07155022158591554
