truth,mean_estimate,mean_bias,mean_abs_bias,rmse,empirical_sd,mean_se,ci_coverage_95,n_reps,condition,estimator,mean_treatment_rate,mean_min_propensity
1.0,1.02923289636723,0.02923289636722992,0.02923289636722992,0.03642631591927062,0.026617125918287195,0.057929965787471775,1.0,3,linear_high_confounding,aipw,0.5040833333333333,0.01
1.0,2.46820317416439,1.4682031741643897,1.4682031741643897,1.4684752745623382,0.034620904982650996,0.0457449488387538,0.0,3,linear_high_confounding,difference-in-means,0.5040833333333333,0.01
1.0,1.029286835199567,0.029286835199567023,0.08734975799598821,0.10161726392294217,0.11917434462487062,0.12116822038114068,1.0,3,linear_high_confounding,ipw,0.5040833333333333,0.01
1.0,0.9978963203270371,-0.002103679672962914,0.013003818542539403,0.015074532206640498,0.01828179640035154,0.010947952998649632,1.0,3,linear_high_confounding,outcome-regression,0.5040833333333333,0.01
1.0,0.9888889352695696,-0.011111064730430517,0.02417864078784541,0.024716469853645777,0.02704019570701265,0.03471760344256608,1.0,3,linear_low_confounding,aipw,0.5021666666666667,0.12539935178130837
1.0,1.561402672551263,0.561402672551263,0.561402672551263,0.5617201723841412,0.023127623599346787,0.05085187738586746,0.0,3,linear_low_confounding,difference-in-means,0.5021666666666667,0.12539935178130837
1.0,0.9809113952451373,-0.019088604754862775,0.022060159703051713,0.02534218534376917,0.020415124044831784,0.055938107138309566,1.0,3,linear_low_confounding,ipw,0.5021666666666667,0.12539935178130837
1.0,0.989630795482975,-0.010369204517025202,0.023283805101224925,0.024318032513616295,0.02694010865839455,0.011246425610832394,0.6666666666666666,3,linear_low_confounding,outcome-regression,0.5021666666666667,0.12539935178130837
1.0,0.9849108592392414,-0.01508914076075866,0.02335780754042231,0.02460876221017656,0.023808895667975408,0.03804682245700247,1.0,3,linear_moderate_confounding,aipw,0.5015833333333334,0.02194478355626794
1.0,2.0102145541368217,1.0102145541368215,1.0102145541368215,1.0107304946372293,0.039547833058731593,0.04890210510734785,0.0,3,linear_moderate_confounding,difference-in-means,0.5015833333333334,0.02194478355626794
1.0,0.9806015488505658,-0.01939845114943417,0.01939845114943417,0.02417882716763039,0.01767692462810588,0.06875618084744317,1.0,3,linear_moderate_confounding,ipw,0.5015833333333334,0.02194478355626794
1.0,0.9853568353228589,-0.01464316467714096,0.021102426940949843,0.026848022312224804,0.027560679336216996,0.011245947953635696,0.6666666666666666,3,linear_moderate_confounding,outcome-regression,0.5015833333333334,0.02194478355626794
1.0,1.3455535587240224,0.3455535587240226,0.3455535587240226,0.3459378051052644,0.019963831829511662,0.05140962415583423,0.0,3,nonlinear_gbm_learner,aipw,0.46950000000000003,0.045727001846669085
1.0,3.2271926072983237,2.2271926072983237,2.2271926072983237,2.228243672114263,0.08381186353629196,0.07073221714903483,0.0,3,nonlinear_gbm_learner,difference-in-means,0.46950000000000003,0.045727001846669085
1.0,1.6677291476849758,0.6677291476849758,0.6677291476849758,0.6679124625070435,0.01916414245871366,0.09148315491955683,0.0,3,nonlinear_gbm_learner,ipw,0.46950000000000003,0.045727001846669085
1.0,1.557527876659088,0.5575278766590882,0.5575278766590882,0.5592440872152749,0.05361831543308398,0.019801934505703726,0.0,3,nonlinear_gbm_learner,outcome-regression,0.46950000000000003,0.045727001846669085
1.0,2.9019852518678104,1.9019852518678106,1.9019852518678106,1.9029503041106952,0.07421551312557269,0.08388679897669717,0.0,3,nonlinear_linear_learner,aipw,0.46950000000000003,0.08053675857728754
1.0,3.2271926072983237,2.2271926072983237,2.2271926072983237,2.228243672114263,0.08381186353629196,0.07073221714903483,0.0,3,nonlinear_linear_learner,difference-in-means,0.46950000000000003,0.08053675857728754
1.0,2.6914700930280637,1.6914700930280635,1.6914700930280635,1.6924048135601977,0.0688800844224277,0.07254272498180675,0.0,3,nonlinear_linear_learner,ipw,0.46950000000000003,0.08053675857728754
1.0,2.7177445510411005,1.7177445510411011,1.7177445510411011,1.7185228360043163,0.06333713646343765,0.017013942547503467,0.0,3,nonlinear_linear_learner,outcome-regression,0.46950000000000003,0.08053675857728754
