condition,learner,seed,pehe,cate_rank_corr,value_learned_policy,value_treat_all,value_treat_none,fraction_treated_by_policy,value_oracle_policy,regret_vs_oracle
linear_low_confounding,linear,0,0.07428659967684874,0.9950457644403601,1.03067893909327,1.0051728820838415,0.02676858847705077,0.929,1.0394353323381247,0.008756393244854666
linear_low_confounding,linear,1,0.06951383220995494,0.9950413188150824,0.9531246552608746,0.9333637092245419,-0.03529743889125344,0.91675,0.9509690783001308,-0.0021555769607438657
linear_low_confounding,linear,2,0.08722375665203327,0.9935472039717,1.0656759344463071,1.042757696296696,0.023156332210573487,0.912,1.0695673886971124,0.003891454250805282
linear_moderate_confounding,linear,0,0.069209426891051,0.9961485345092833,1.0394855623120285,1.0115856544443946,0.0404332443544708,0.93675,1.050870715450695,0.011385153138666615
linear_moderate_confounding,linear,1,0.061405343910455844,0.9968025741126607,0.9500655164986039,0.9182720469010344,-0.05290512055727059,0.91,0.9496120269877578,-0.00045348951084611677
linear_moderate_confounding,linear,2,0.09902096811366516,0.9922593800162111,1.054523084574807,1.0363590371128222,0.02395603694332666,0.90675,1.0605142548632946,0.005991170288487613
linear_high_confounding,linear,0,0.11004204643627752,0.9905857455366089,1.0412507785118856,1.0280494497571355,0.012668251908913157,0.9455,1.0458768408060355,0.0046260622941498575
linear_high_confounding,linear,1,0.06930847466541491,0.9947367814835486,0.9667713841205491,0.9372379559865803,-0.07516012407174279,0.92125,0.9627101059766078,-0.004061278143941305
linear_high_confounding,linear,2,0.09795918864779646,0.9909773012485812,1.0510978418447352,1.0857065989119485,0.025787187716804192,0.9075,1.0638782685281953,0.012780426683460133
nonlinear_linear_learner,linear,0,1.7913458390285324,0.9863780382736271,1.9094509853196902,2.1546953568249982,-0.7965501164046472,0.99425,1.60799425495187,-0.30145673036782017
nonlinear_linear_learner,linear,1,1.7269636286797554,0.9714857609678599,1.7815464556927965,1.9405095635068437,-0.8761165456440513,0.9955,1.4206580708419787,-0.36088838485081776
nonlinear_linear_learner,linear,2,1.8071773835472227,0.9779417323088582,1.904228900295299,2.1446288906855613,-0.7934552825373306,0.9925,1.5855268291194917,-0.3187020711758073
nonlinear_gbm_learner,gbm,0,1.1649349391195907,0.6732136716699113,1.1601311675599741,1.1575989125310173,-0.16654130618984345,0.9605,1.1745486146639463,0.014417447103972192
nonlinear_gbm_learner,gbm,1,1.0684383260045212,0.6551996666999791,1.0169003926025588,1.0192618864258465,-0.32960535685754483,0.9635,0.9868444514296238,-0.030055941172934975
nonlinear_gbm_learner,gbm,2,1.120744550556447,0.708031393126962,1.1675936741090853,1.1669107271988848,-0.19674248696893096,0.95325,1.1317295747912233,-0.03586409931786205
