decile,n,mean_predicted_uplift,treated_n,control_n,randomized_observed_uplift
1,20000,0.10727117628226178,17056,2944,0.04650537360306714
2,20000,0.05898391803469351,17013,2987,0.01841511102667881
3,20000,0.04067687135292879,16997,3003,0.010694723879403525
4,20000,0.02865600954931624,17044,2956,0.00801880605764782
5,20000,0.019094598140770972,16980,3020,0.011611245017511831
6,20000,0.009948369541607214,16928,3072,0.007271606214555762
7,20000,1.1202794924857576e-05,17037,2963,0.007132676293210363
8,20000,-0.01183886399846573,17055,2945,0.007443111993107293
9,20000,-0.02776787420167632,16987,3013,0.007333559442216905
10,20000,-0.06570342867976163,16949,3051,0.01660322514190729
