decile,n,mean_predicted_uplift,treated_n,control_n,randomized_observed_uplift
1,20000,0.24012910454083858,16937,3063,0.09238187933539727
2,20000,0.1565668173821511,17031,2969,0.0742466548873818
3,20000,0.1166197888972315,16972,3028,0.05547765205633587
4,20000,0.08682804656212038,16955,3045,0.05596016500744022
5,20000,0.06141647830214783,16985,3015,0.04185441158450709
6,20000,0.03774742045330076,17120,2880,0.033515057113187974
7,20000,0.01397133548125083,16995,3005,0.03629745266176454
8,20000,-0.012812102339341293,17065,2935,0.037850068207989224
9,20000,-0.049514824085459916,16978,3022,0.028123092141120243
10,20000,-0.1344718862261236,17008,2992,0.04184001489075917
