seed,strategy,realised_value,regret_vs_oracle,regret_pct,spend_search,spend_email,spend_social,spend_display,spend_retargeting
0,oracle,235.84767856035614,0.0,0.0,8,6,5,0.0,1.0
0,causal,235.84767856035614,0.0,0.0,8,6,5,0.0,1.0
0,causal_lcb,235.84767856035614,0.0,0.0,8,6,5,0.0,1.0
0,historical,151.94785290101098,83.89982565934517,35.57373393347785,2,3,2,4.0,9.0
0,rule_based,190.26135402146681,45.58632453888933,19.328714540314316,4,4,2,3.0,7.0
1,oracle,235.84767856035614,0.0,0.0,8,6,5,0.0,1.0
1,causal,235.29371732255282,0.5539612378033212,0.23488093721539688,7,7,5,0.0,1.0
1,causal_lcb,235.29371732255282,0.5539612378033212,0.23488093721539688,7,7,5,0.0,1.0
1,historical,151.94785290101098,83.89982565934517,35.57373393347785,2,3,2,4.0,9.0
1,rule_based,190.26135402146681,45.58632453888933,19.328714540314316,4,4,2,3.0,7.0
2,oracle,235.84767856035614,0.0,0.0,8,6,5,0.0,1.0
2,causal,235.8415397674334,0.006138792922740777,0.002602863407523339,7,6,6,0.0,1.0
2,causal_lcb,235.8415397674334,0.006138792922740777,0.002602863407523339,7,6,6,0.0,1.0
2,historical,151.94785290101098,83.89982565934517,35.57373393347785,2,3,2,4.0,9.0
2,rule_based,190.26135402146681,45.58632453888933,19.328714540314316,4,4,2,3.0,7.0
3,oracle,235.84767856035614,0.0,0.0,8,6,5,0.0,1.0
3,causal,233.78669276764055,2.0609857927155986,0.8738630820095897,9,6,4,0.0,1.0
3,causal_lcb,233.78669276764055,2.0609857927155986,0.8738630820095897,9,6,4,0.0,1.0
3,historical,151.94785290101098,83.89982565934517,35.57373393347785,2,3,2,4.0,9.0
3,rule_based,190.26135402146681,45.58632453888933,19.328714540314316,4,4,2,3.0,7.0
4,oracle,235.84767856035614,0.0,0.0,8,6,5,0.0,1.0
4,causal,235.29371732255282,0.5539612378033212,0.23488093721539688,7,7,5,0.0,1.0
4,causal_lcb,235.29371732255282,0.5539612378033212,0.23488093721539688,7,7,5,0.0,1.0
4,historical,151.94785290101098,83.89982565934517,35.57373393347785,2,3,2,4.0,9.0
4,rule_based,190.26135402146681,45.58632453888933,19.328714540314316,4,4,2,3.0,7.0
5,oracle,235.84767856035614,0.0,0.0,8,6,5,0.0,1.0
5,causal,235.03158039529006,0.8160981650660801,0.34602764379435313,8,5,6,0.0,1.0
5,causal_lcb,235.03158039529006,0.8160981650660801,0.34602764379435313,8,5,6,0.0,1.0
5,historical,151.94785290101098,83.89982565934517,35.57373393347785,2,3,2,4.0,9.0
5,rule_based,190.26135402146681,45.58632453888933,19.328714540314316,4,4,2,3.0,7.0
6,oracle,235.84767856035614,0.0,0.0,8,6,5,0.0,1.0
6,causal,234.53782962843798,1.309848931918168,0.5553791921606566,7,5,6,0.0,2.0
6,causal_lcb,234.53782962843798,1.309848931918168,0.5553791921606566,7,5,6,0.0,2.0
6,historical,151.94785290101098,83.89982565934517,35.57373393347785,2,3,2,4.0,9.0
6,rule_based,190.26135402146681,45.58632453888933,19.328714540314316,4,4,2,3.0,7.0
7,oracle,235.84767856035614,0.0,0.0,8,6,5,0.0,1.0
7,causal,235.8415397674334,0.006138792922740777,0.002602863407523339,7,6,6,0.0,1.0
7,causal_lcb,235.8415397674334,0.006138792922740777,0.002602863407523339,7,6,6,0.0,1.0
7,historical,151.94785290101098,83.89982565934517,35.57373393347785,2,3,2,4.0,9.0
7,rule_based,190.26135402146681,45.58632453888933,19.328714540314316,4,4,2,3.0,7.0
8,oracle,235.84767856035614,0.0,0.0,8,6,5,0.0,1.0
