seed,strategy,realised_value,regret_vs_oracle,regret_pct,spend_search,spend_email,spend_social,spend_display,spend_retargeting
0,oracle,235.84767856035614,0.0,0.0,8,6,5,0.0,1
0,causal,235.84767856035614,0.0,0.0,8,6,5,0.0,1
0,causal_lcb,235.84767856035614,0.0,0.0,8,6,5,0.0,1
0,historical,151.94785290101098,83.89982565934517,35.57373393347785,2,3,2,4.0,9
0,rule_based,190.26135402146681,45.58632453888933,19.328714540314316,4,4,2,3.0,7
1,oracle,235.84767856035614,0.0,0.0,8,6,5,0.0,1
1,causal,235.29371732255282,0.5539612378033212,0.23488093721539688,7,7,5,0.0,1
1,causal_lcb,235.29371732255282,0.5539612378033212,0.23488093721539688,7,7,5,0.0,1
1,historical,151.94785290101098,83.89982565934517,35.57373393347785,2,3,2,4.0,9
1,rule_based,190.26135402146681,45.58632453888933,19.328714540314316,4,4,2,3.0,7
2,oracle,235.84767856035614,0.0,0.0,8,6,5,0.0,1
2,causal,235.8415397674334,0.006138792922740777,0.002602863407523339,7,6,6,0.0,1
2,causal_lcb,235.8415397674334,0.006138792922740777,0.002602863407523339,7,6,6,0.0,1
2,historical,151.94785290101098,83.89982565934517,35.57373393347785,2,3,2,4.0,9
2,rule_based,190.26135402146681,45.58632453888933,19.328714540314316,4,4,2,3.0,7
3,oracle,235.84767856035614,0.0,0.0,8,6,5,0.0,1
3,causal,233.78669276764055,2.0609857927155986,0.8738630820095897,9,6,4,0.0,1
3,causal_lcb,233.78669276764055,2.0609857927155986,0.8738630820095897,9,6,4,0.0,1
3,historical,151.94785290101098,83.89982565934517,35.57373393347785,2,3,2,4.0,9
3,rule_based,190.26135402146681,45.58632453888933,19.328714540314316,4,4,2,3.0,7
4,oracle,235.84767856035614,0.0,0.0,8,6,5,0.0,1
4,causal,235.29371732255282,0.5539612378033212,0.23488093721539688,7,7,5,0.0,1
4,causal_lcb,235.29371732255282,0.5539612378033212,0.23488093721539688,7,7,5,0.0,1
4,historical,151.94785290101098,83.89982565934517,35.57373393347785,2,3,2,4.0,9
4,rule_based,190.26135402146681,45.58632453888933,19.328714540314316,4,4,2,3.0,7
