condition,estimator,truth,mean_bias,rmse,empirical_sd,mean_se,ci_coverage_95,n_reps
linear_high_confounding,aipw,1.0,0.0057659082257876,0.0608892493681502,0.0609210035843619,0.056535092090872,0.92,100
linear_high_confounding,difference-in-means,1.0,1.471985884945443,1.47270720156763,0.0463196630208414,0.0459724455262667,0.0,100
linear_high_confounding,ipw,1.0,0.0478524635845646,0.1036224164374425,0.0923746593723858,0.1208329666372617,0.96,100
linear_high_confounding,outcome-regression,1.0,0.0031640184201705,0.0439982744357442,0.0441054423078558,0.0111217647377422,0.42,100
linear_low_confounding,aipw,1.0,0.0031935161193671,0.0363567918845567,0.03639871474771,0.0346854463147513,0.94,100
linear_low_confounding,difference-in-means,1.0,0.5799431763728292,0.5825889924576036,0.0557397117504156,0.0508475559192591,0.0,100
linear_low_confounding,ipw,1.0,7.663324742567257e-05,0.0366967485894677,0.0368815396102743,0.0556424090383848,1.0,100
linear_low_confounding,outcome-regression,1.0,0.0036247920570564,0.0366605059676265,0.0366646498115489,0.0111659006243516,0.45,100
linear_moderate_confounding,aipw,1.0,0.0043060463903766,0.0354290583558004,0.0353435682783887,0.0386487847586202,0.98,100
linear_moderate_confounding,difference-in-means,1.0,1.0068255368860597,1.0080906237071414,0.0507424063120271,0.0491085294839621,0.0,100
linear_moderate_confounding,ipw,1.0,-0.0032368070271439,0.0473208815702485,0.0474478864879805,0.0705818290532587,1.0,100
linear_moderate_confounding,outcome-regression,1.0,0.0051504238262203,0.0355566914244093,0.0353589306859455,0.0111484626857783,0.46,100
nonlinear_gbm_learner,aipw,1.0,0.3517741045298029,0.3555670384553757,0.0524565580283972,0.0514203710898609,0.0,40
nonlinear_gbm_learner,difference-in-means,1.0,2.250542900218966,2.2514463108729146,0.0645866146111932,0.0718510735856874,0.0,40
nonlinear_gbm_learner,ipw,1.0,0.6824256782815814,0.6854770525543186,0.0654294154853025,0.0942520204659104,0.0,40
nonlinear_gbm_learner,outcome-regression,1.0,0.569393516926328,0.5707260432946138,0.0394739690532023,0.0199520820498185,0.0,40
nonlinear_linear_learner,aipw,1.0,1.8731579492937989,1.874742233117088,0.0774449144752312,0.0814917238329274,0.0,100
nonlinear_linear_learner,difference-in-means,1.0,2.2401778408137587,2.2414593130521485,0.0761649830409669,0.0716497338616621,0.0,100
nonlinear_linear_learner,ipw,1.0,1.6667639554941942,1.6678629453025475,0.0608419128747667,0.072979872945498,0.0,100
nonlinear_linear_learner,outcome-regression,1.0,1.7030605357127977,1.7041083594036652,0.0600514281875486,0.017398976073207,0.0,100
