sweep,value,mean_bias,rmse,ci_coverage_95,mean_min_propensity
confounding_strength,0.0,0.0047614150380184,0.031533638699253,0.9833333333333332,0.4235962171189786
confounding_strength,0.5,0.001933370243544,0.0357708457498923,0.95,0.1349570792978076
confounding_strength,1.0,0.0016741303991588,0.0342085738781785,0.9833333333333332,0.0255989097559059
confounding_strength,1.5,0.0045469967614214,0.0411952280656116,0.9666666666666668,0.0100351133447889
confounding_strength,2.0,0.0043873041214512,0.0587469692392109,0.9166666666666666,0.01
confounding_strength,2.5,0.0034747246671473,0.0673774793829925,0.9333333333333332,0.01
confounding_strength,3.0,0.0027594306107121,0.0639726375333714,1.0,0.01
hte_strength,0.0,0.0003218860609858,0.0292031234599305,1.0,0.0255989097559059
hte_strength,0.5,0.0012877748739665,0.0323916288972676,0.9833333333333332,0.0255989097559059
hte_strength,1.0,0.0022536636869473,0.0373794449892555,0.9666666666666668,0.0255989097559059
hte_strength,2.0,0.0041854413129087,0.0504783490689828,0.95,0.0255989097559059
measurement_error,0.0,0.0016741303991588,0.0342085738781785,0.9833333333333332,0.0255989097559059
measurement_error,0.25,0.0731484962349817,0.0815247160960191,0.5333333333333333,0.0303634860733703
measurement_error,0.5,0.2365295091828009,0.2398415698246617,0.0,0.0442348170493866
measurement_error,1.0,0.553557235591122,0.5554093922760315,0.0,0.0904139756400198
measurement_error,2.0,0.8360080059291863,0.8374259870697546,0.0,0.1974200416402011
outcome_noise,0.25,0.0014327158534195,0.0156232467322908,0.9166666666666666,0.0255989097559059
outcome_noise,0.5,0.0015131873686659,0.0211233661795328,0.9666666666666668,0.0255989097559059
outcome_noise,1.0,0.0016741303991588,0.0342085738781785,0.9833333333333332,0.0255989097559059
outcome_noise,2.0,0.0019960164601447,0.0624301210358513,0.9833333333333332,0.0255989097559059
outcome_noise,4.0,0.0026397885821164,0.120287328937803,1.0,0.0255989097559059
placebo_permuted_treatment,permuted,-0.0015332339334744,0.039089617825478,0.9166666666666666,0.4222529040426712
sample_size,500,0.0002048936470865,0.0985168257037997,0.9833333333333332,0.0487316864553465
sample_size,1000,-0.0055280916797728,0.0870998003321155,0.95,0.0365607412542406
sample_size,2000,0.0034139975091225,0.0446484732978513,0.9833333333333332,0.0328153050229461
sample_size,4000,0.0016741303991588,0.0342085738781785,0.9833333333333332,0.0255989097559059
sample_size,8000,0.0036539552191458,0.0279481986247537,0.9666666666666668,0.023008385681866
selection_bias,0.0,0.0016741303991588,0.0342085738781785,0.9833333333333332,0.0255989097559059
selection_bias,0.5,0.0677387466064632,0.0887849983736839,0.7833333333333333,0.0552223548584632
selection_bias,1.0,0.0264811017901174,0.068017771422697,0.9166666666666666,0.1237075884595713
selection_bias,2.0,-0.1909913330162808,0.2009139657204069,0.1666666666666666,0.4185265907128007
treatment_intercept,-2.5,0.0101071269484106,0.0788130672959949,0.9166666666666666,0.01
treatment_intercept,-1.5,0.0065223395861388,0.0453188125170761,0.95,0.0100251786237176
treatment_intercept,0.0,0.0016741303991588,0.0342085738781785,0.9833333333333332,0.0255989097559059
treatment_intercept,1.5,0.0089697123314297,0.0446707232318967,0.9833333333333332,0.1064840736238725
treatment_intercept,2.5,0.0147167918825869,0.0718726966300841,0.95,0.2431887419419991
unmeasured_confounding,none,0.0016741303991588,0.0342085738781785,0.9833333333333332,0.0255989097559059
unmeasured_confounding,x0,0.5522503349332045,0.5539911776371701,0.0,0.0653436618968019
unmeasured_confounding,"x2,x3,x4",0.3281302514708787,0.3307799672392936,0.0,0.0608753119206709
unmeasured_confounding,"x3,x4",0.161554345106397,0.1660185264952107,0.0,0.040466725736517
unmeasured_confounding,x4,0.0559644199102273,0.0665577267106992,0.7,0.0303011062647959
