experiment_id,domain,heterogeneity,aggregation,seed,final_auroc,final_accuracy,worst_client_auroc,client_dispersion,convergence_round,runtime_ms,communication_bytes
P2-E1,clinical-sim,iid,fedavg,20260000,0.831446,0.769167,0.773527,0.032232,1,58,28800
P2-E1,clinical-sim,iid,fedavg,20260101,0.809312,0.765,0.800133,0.017829,1,37,28800
P2-E1,clinical-sim,iid,fedavg,20260202,0.817271,0.754167,0.800009,0.022141,1,31,28800
P2-E1,clinical-sim,iid,fedavg,20260303,0.81848,0.768333,0.789474,0.021694,1,35,28800
P2-E1,clinical-sim,iid,fedavg,20260404,0.816151,0.753333,0.812301,0.015987,1,32,28800
P2-E1,clinical-sim,iid,fedavg,20260505,0.817706,0.76,0.804683,0.02111,1,30,28800
P2-E1,clinical-sim,iid,fedavg,20260606,0.790175,0.7225,0.785092,0.018998,1,32,28800
P2-E1,clinical-sim,iid,fedavg,20260707,0.824564,0.759167,0.780933,0.028006,1,32,28800
P2-E1,clinical-sim,iid,fedavg,20260808,0.8106,0.758333,0.782268,0.030728,1,30,28800
P2-E1,clinical-sim,iid,fedavg,20260909,0.815731,0.76,0.756626,0.029554,1,46,28800
P2-E1,clinical-sim,iid,fedavg,20261010,0.805466,0.759167,0.788315,0.026318,1,51,28800
P2-E1,clinical-sim,iid,fedavg,20261111,0.809748,0.7575,0.783799,0.025447,1,33,28800
P2-E1,clinical-sim,iid,fedavg,20261212,0.821885,0.77,0.779484,0.026519,1,33,28800
P2-E1,clinical-sim,iid,fedavg,20261313,0.821344,0.748333,0.78035,0.022961,1,32,28800
P2-E1,clinical-sim,iid,fedavg,20261414,0.804585,0.746667,0.787207,0.020893,1,30,28800
P2-E1,clinical-sim,iid,fedavg,20261515,0.823378,0.7625,0.79942,0.020252,1,30,28800
P2-E1,clinical-sim,iid,fedavg,20261616,0.808944,0.754167,0.80789,0.018426,1,30,28800
P2-E1,clinical-sim,iid,fedavg,20261717,0.815602,0.7625,0.793839,0.025151,1,30,28800
P2-E1,clinical-sim,iid,fedavg,20261818,0.817781,0.768333,0.794872,0.022722,1,32,28800
P2-E1,clinical-sim,iid,fedavg,20261919,0.820813,0.754167,0.764251,0.025787,1,31,28800
P2-E1,clinical-sim,iid,fedprox,20260000,0.831446,0.769167,0.773527,0.032232,1,32,28800
P2-E1,clinical-sim,iid,fedprox,20260101,0.809312,0.765,0.800133,0.017829,1,33,28800
P2-E1,clinical-sim,iid,fedprox,20260202,0.817271,0.754167,0.800009,0.022141,1,32,28800
P2-E1,clinical-sim,iid,fedprox,20260303,0.81848,0.768333,0.789474,0.021694,1,32,28800
P2-E1,clinical-sim,iid,fedprox,20260404,0.816151,0.753333,0.812301,0.015987,1,31,28800
P2-E1,clinical-sim,iid,fedprox,20260505,0.817706,0.76,0.804683,0.02111,1,32,28800
P2-E1,clinical-sim,iid,fedprox,20260606,0.790175,0.7225,0.785092,0.018998,1,33,28800
P2-E1,clinical-sim,iid,fedprox,20260707,0.824564,0.759167,0.780933,0.028006,1,31,28800
P2-E1,clinical-sim,iid,fedprox,20260808,0.8106,0.758333,0.782268,0.030728,1,32,28800
P2-E1,clinical-sim,iid,fedprox,20260909,0.815731,0.76,0.756626,0.029554,1,31,28800
P2-E1,clinical-sim,iid,fedprox,20261010,0.805466,0.759167,0.788315,0.026318,1,30,28800
P2-E1,clinical-sim,iid,fedprox,20261111,0.809748,0.7575,0.783799,0.025447,1,32,28800
P2-E1,clinical-sim,iid,fedprox,20261212,0.821885,0.77,0.779484,0.026519,1,32,28800
P2-E1,clinical-sim,iid,fedprox,20261313,0.821344,0.748333,0.78035,0.022961,1,32,28800
P2-E1,clinical-sim,iid,fedprox,20261414,0.804585,0.746667,0.787207,0.020893,1,31,28800
P2-E1,clinical-sim,iid,fedprox,20261515,0.823378,0.7625,0.79942,0.020252,1,31,28800
P2-E1,clinical-sim,iid,fedprox,20261616,0.808944,0.754167,0.80789,0.018426,1,31,28800
P2-E1,clinical-sim,iid,fedprox,20261717,0.815602,0.7625,0.793839,0.025151,1,32,28800
P2-E1,clinical-sim,iid,fedprox,20261818,0.817781,0.768333,0.794872,0.022722,1,30,28800
P2-E1,clinical-sim,iid,fedprox,20261919,0.820813,0.754167,0.764251,0.025787,1,31,28800
