experiment_id,domain,privacy_mode,epsilon_budget,seed,final_auroc,epsilon_spent,convergence_round,worst_client_auroc,runtime_ms
P2-E2,clinical-sim,no-dp,0,20260000,0.821075,0,2,0.488725,32
P2-E2,clinical-sim,static-dp,1,20260000,0.805542,1.033895,4,0.494762,43
P2-E2,clinical-sim,adaptive-dp,1,20260000,0.805542,7.632414,4,0.494762,42
P2-E2,clinical-sim,static-dp,3,20260000,0.820464,3.008339,1,0.490589,36
P2-E2,clinical-sim,adaptive-dp,3,20260000,0.805542,7.632414,4,0.494762,36
P2-E2,clinical-sim,static-dp,6,20260000,0.824012,5.993563,1,0.486417,35
P2-E2,clinical-sim,adaptive-dp,6,20260000,0.805495,8.004064,1,0.492365,37
P2-E2,clinical-sim,static-dp,10,20260000,0.824846,9.995506,2,0.482866,35
P2-E2,clinical-sim,adaptive-dp,10,20260000,0.806848,10.465998,1,0.489879,35
P2-E2,clinical-sim,no-dp,0,20260101,0.7863,0,3,0.59577,31
P2-E2,clinical-sim,static-dp,1,20260101,0.781683,1.033895,7,0.605195,37
P2-E2,clinical-sim,adaptive-dp,1,20260101,0.781683,7.632414,7,0.605195,37
P2-E2,clinical-sim,static-dp,3,20260101,0.794252,3.008339,7,0.596141,40
P2-E2,clinical-sim,adaptive-dp,3,20260101,0.781683,7.632414,7,0.605195,38
P2-E2,clinical-sim,static-dp,6,20260101,0.795938,5.993563,7,0.594137,35
P2-E2,clinical-sim,adaptive-dp,6,20260101,0.781697,8.004064,7,0.605788,37
P2-E2,clinical-sim,static-dp,10,20260101,0.795955,9.995506,7,0.592727,35
P2-E2,clinical-sim,adaptive-dp,10,20260101,0.782009,10.465998,7,0.603859,37
P2-E2,clinical-sim,no-dp,0,20260202,0.810367,0,1,0.49683,33
P2-E2,clinical-sim,static-dp,1,20260202,0.789325,1.033895,2,0.501108,39
P2-E2,clinical-sim,adaptive-dp,1,20260202,0.789325,7.632414,2,0.501108,41
P2-E2,clinical-sim,static-dp,3,20260202,0.802587,3.008339,2,0.503323,38
P2-E2,clinical-sim,adaptive-dp,3,20260202,0.789325,7.632414,2,0.501108,38
P2-E2,clinical-sim,static-dp,6,20260202,0.805179,5.993563,6,0.504774,35
P2-E2,clinical-sim,adaptive-dp,6,20260202,0.789678,8.004064,2,0.501948,37
P2-E2,clinical-sim,static-dp,10,20260202,0.806152,9.995506,6,0.505003,34
P2-E2,clinical-sim,adaptive-dp,10,20260202,0.788866,10.465998,2,0.501642,36
P2-E2,clinical-sim,no-dp,0,20260303,0.79908,0,3,0.579586,33
P2-E2,clinical-sim,static-dp,1,20260303,0.757013,1.033895,2,0.495792,36
P2-E2,clinical-sim,adaptive-dp,1,20260303,0.757013,7.632414,2,0.495792,37
P2-E2,clinical-sim,static-dp,3,20260303,0.810659,3.008339,6,0.556058,36
P2-E2,clinical-sim,adaptive-dp,3,20260303,0.757013,7.632414,2,0.495792,44
P2-E2,clinical-sim,static-dp,6,20260303,0.81121,5.993563,6,0.568727,36
P2-E2,clinical-sim,adaptive-dp,6,20260303,0.755468,8.004064,2,0.496426,38
P2-E2,clinical-sim,static-dp,10,20260303,0.810335,9.995506,5,0.572799,38
P2-E2,clinical-sim,adaptive-dp,10,20260303,0.763993,10.465998,2,0.499683,36
P2-E2,clinical-sim,no-dp,0,20260404,0.75587,0,4,0.577464,31
P2-E2,clinical-sim,static-dp,1,20260404,0.521264,1.033895,2,0.406763,36
P2-E2,clinical-sim,adaptive-dp,1,20260404,0.521264,7.632414,2,0.406763,38
P2-E2,clinical-sim,static-dp,3,20260404,0.678376,3.008339,10,0.56622,36
P2-E2,clinical-sim,adaptive-dp,3,20260404,0.521264,7.632414,2,0.406763,37
P2-E2,clinical-sim,static-dp,6,20260404,0.717777,5.993563,12,0.574239,34
P2-E2,clinical-sim,adaptive-dp,6,20260404,0.523367,8.004064,2,0.412191,36
P2-E2,clinical-sim,static-dp,10,20260404,0.73195,9.995506,15,0.57796,37
P2-E2,clinical-sim,adaptive-dp,10,20260404,0.514511,10.465998,1,0.399155,37
P2-E2,clinical-sim,no-dp,0,20260505,0.815793,0,2,0.560902,32
P2-E2,clinical-sim,static-dp,1,20260505,0.810041,1.033895,8,0.575195,36
P2-E2,clinical-sim,adaptive-dp,1,20260505,0.810041,7.632414,8,0.575195,38
P2-E2,clinical-sim,static-dp,3,20260505,0.816231,3.008339,8,0.565874,37
P2-E2,clinical-sim,adaptive-dp,3,20260505,0.810041,7.632414,8,0.575195,36
P2-E2,clinical-sim,static-dp,6,20260505,0.816712,5.993563,8,0.565252,34
P2-E2,clinical-sim,adaptive-dp,6,20260505,0.810247,8.004064,8,0.57342,36
P2-E2,clinical-sim,static-dp,10,20260505,0.816448,9.995506,6,0.564986,34
P2-E2,clinical-sim,adaptive-dp,10,20260505,0.810477,10.465998,8,0.570401,36
P2-E2,clinical-sim,no-dp,0,20260606,0.775435,0,3,0.526955,29
P2-E2,clinical-sim,static-dp,1,20260606,0.765663,1.033895,5,0.490183,35
P2-E2,clinical-sim,adaptive-dp,1,20260606,0.765663,7.632414,5,0.490183,36
P2-E2,clinical-sim,static-dp,3,20260606,0.782623,3.008339,5,0.50959,35
P2-E2,clinical-sim,adaptive-dp,3,20260606,0.765663,7.632414,5,0.490183,36
P2-E2,clinical-sim,static-dp,6,20260606,0.786191,5.993563,6,0.514357,34
P2-E2,clinical-sim,adaptive-dp,6,20260606,0.765512,8.004064,5,0.489956,34
P2-E2,clinical-sim,static-dp,10,20260606,0.786841,9.995506,6,0.517648,34
P2-E2,clinical-sim,adaptive-dp,10,20260606,0.766491,10.465998,4,0.490296,35
P2-E2,clinical-sim,no-dp,0,20260707,0.817994,0,2,0.495288,30
P2-E2,clinical-sim,static-dp,1,20260707,0.787215,1.033895,1,0.5,35
P2-E2,clinical-sim,adaptive-dp,1,20260707,0.787215,7.632414,1,0.5,35
P2-E2,clinical-sim,static-dp,3,20260707,0.808914,3.008339,7,0.4875,34
P2-E2,clinical-sim,adaptive-dp,3,20260707,0.787215,7.632414,1,0.5,35
P2-E2,clinical-sim,static-dp,6,20260707,0.813163,5.993563,8,0.487404,34
P2-E2,clinical-sim,adaptive-dp,6,20260707,0.787368,8.004064,1,0.500385,35
P2-E2,clinical-sim,static-dp,10,20260707,0.814071,9.995506,8,0.485385,34
P2-E2,clinical-sim,adaptive-dp,10,20260707,0.78627,10.465998,1,0.495192,34
P2-E2,clinical-sim,no-dp,0,20260808,0.803279,0,1,0.519676,30
P2-E2,clinical-sim,static-dp,1,20260808,0.806118,1.033895,7,0.484428,34
P2-E2,clinical-sim,adaptive-dp,1,20260808,0.806118,7.632414,7,0.484428,35
P2-E2,clinical-sim,static-dp,3,20260808,0.807143,3.008339,2,0.504945,35
P2-E2,clinical-sim,adaptive-dp,3,20260808,0.806118,7.632414,7,0.484428,35
P2-E2,clinical-sim,static-dp,6,20260808,0.806388,5.993563,1,0.511469,35
P2-E2,clinical-sim,adaptive-dp,6,20260808,0.805831,8.004064,3,0.48327,37
P2-E2,clinical-sim,static-dp,10,20260808,0.805736,9.995506,1,0.515152,34
P2-E2,clinical-sim,adaptive-dp,10,20260808,0.805828,10.465998,3,0.481692,37
P2-E2,clinical-sim,no-dp,0,20260909,0.773178,0,3,0.492122,29
P2-E2,clinical-sim,static-dp,1,20260909,0.675488,1.033895,1,0.438157,37
P2-E2,clinical-sim,adaptive-dp,1,20260909,0.675488,7.632414,1,0.438157,36
P2-E2,clinical-sim,static-dp,3,20260909,0.722523,3.008339,5,0.451024,34
P2-E2,clinical-sim,adaptive-dp,3,20260909,0.675488,7.632414,1,0.438157,36
P2-E2,clinical-sim,static-dp,6,20260909,0.728663,5.993563,7,0.455488,34
P2-E2,clinical-sim,adaptive-dp,6,20260909,0.673583,8.004064,1,0.437369,36
P2-E2,clinical-sim,static-dp,10,20260909,0.731214,9.995506,9,0.457327,34
P2-E2,clinical-sim,adaptive-dp,10,20260909,0.683923,10.465998,1,0.445903,35
P2-E2,clinical-sim,no-dp,0,20261010,0.79857,0,1,0.468186,31
P2-E2,clinical-sim,static-dp,1,20261010,0.721979,1.033895,9,0.497626,35
P2-E2,clinical-sim,adaptive-dp,1,20261010,0.721979,7.632414,9,0.497626,37
P2-E2,clinical-sim,static-dp,3,20261010,0.799259,3.008339,3,0.484873,37
P2-E2,clinical-sim,adaptive-dp,3,20261010,0.721979,7.632414,9,0.497626,37
P2-E2,clinical-sim,static-dp,6,20261010,0.802152,5.993563,2,0.480939,36
P2-E2,clinical-sim,adaptive-dp,6,20261010,0.723866,8.004064,3,0.496405,37
P2-E2,clinical-sim,static-dp,10,20261010,0.802564,9.995506,1,0.479311,34
P2-E2,clinical-sim,adaptive-dp,10,20261010,0.727946,10.465998,2,0.497761,36
P2-E2,clinical-sim,no-dp,0,20261111,0.784578,0,3,0.543181,31
P2-E2,clinical-sim,static-dp,1,20261111,0.765213,1.033895,13,0.472561,35
P2-E2,clinical-sim,adaptive-dp,1,20261111,0.765213,7.632414,13,0.472561,37
