experiment_id,domain,aggregation,attack_id,adversarial_fraction,seed,clean_auroc,attacked_auroc,abs_degradation,rel_degradation,worst_client_auroc,runtime_ms
P2-E3,clinical-sim,fedavg,sign-flip-5,0.1,20260000,0.821075,0.731002,0.090072,0.280534,0.420289,31
P2-E3,clinical-sim,fedavg,sign-flip-5,0.1,20260101,0.7863,0.525826,0.260474,0.909794,0.298862,30
P2-E3,clinical-sim,fedavg,sign-flip-5,0.1,20260202,0.810367,0.539255,0.271111,0.873519,0.332377,30
P2-E3,clinical-sim,fedavg,sign-flip-5,0.1,20260303,0.79908,0.47592,0.323161,1.080515,0.20894,33
P2-E3,clinical-sim,fedavg,sign-flip-5,0.1,20260404,0.75587,0.725395,0.030475,0.119103,0.456027,31
P2-E3,clinical-sim,fedavg,sign-flip-5,0.1,20260505,0.815793,0.519407,0.296386,0.938545,0.171947,30
P2-E3,clinical-sim,fedavg,sign-flip-5,0.1,20260606,0.775435,0.670801,0.104634,0.379886,0.433013,31
P2-E3,clinical-sim,fedavg,sign-flip-5,0.1,20260707,0.817994,0.514777,0.303217,0.953532,0.169025,30
P2-E3,clinical-sim,fedavg,sign-flip-5,0.1,20260808,0.803279,0.565596,0.237683,0.78371,0.207734,33
P2-E3,clinical-sim,fedavg,sign-flip-5,0.1,20260909,0.773178,0.45623,0.316948,1.160226,0.243281,31
P2-E3,clinical-sim,fedavg,sign-flip-5,0.1,20261010,0.79857,0.483281,0.31529,1.055998,0.32708,31
P2-E3,clinical-sim,fedavg,sign-flip-5,0.1,20261111,0.784578,0.586542,0.198036,0.695893,0.187816,30
P2-E3,clinical-sim,fedavg,sign-flip-5,0.1,20261212,0.822766,0.441839,0.380927,1.180196,0.199311,31
P2-E3,clinical-sim,fedavg,sign-flip-5,0.1,20261313,0.817373,0.469809,0.347564,1.095128,0.363717,31
P2-E3,clinical-sim,fedavg,sign-flip-5,0.1,20261414,0.770017,0.467438,0.302579,1.120591,0.190632,30
