experiment_id,dim,n_clients,payload_bytes,mask_overhead_bytes,overhead_ratio,secure_ms_per_round,plain_ms_per_round,time_overhead_ratio,max_reconstruction_error
P2-E4,9,5,360,320,0.888889,0.093605,0.025063,3.734839,0
P2-E4,9,10,720,1440,2,0.133463,0.009828,13.58003,0
P2-E4,9,20,1440,6080,4.222222,0.135488,0.007061,19.188646,0
P2-E4,9,40,2880,24960,8.666667,0.437068,0.0065,67.244882,0
P2-E4,9,80,5760,101120,17.555556,0.447358,0.010743,41.64299,0
P2-E4,13,5,520,320,0.615385,0.005442,0.002207,2.465546,0
P2-E4,13,10,1040,1440,1.384615,0.015758,0.002219,7.100025,0
P2-E4,13,20,2080,6080,2.923077,0.050463,0.0033,15.28998,0
P2-E4,13,40,4160,24960,6,0.173988,0.006119,28.4318,0
P2-E4,13,80,8320,101120,12.153846,0.546679,0.0137,39.904614,0
