experiment_id,domain,privacy_mode,epsilon_budget,seed,final_auroc,epsilon_spent,mia_auc,mia_advantage,mia_attack_accuracy
P2-E5,clinical-sim,no-dp,0,20260000,0.821075,0,0.544932,0.089864,0.555
P2-E5,clinical-sim,static-dp,1,20260000,0.805542,1.033895,0.508604,0.017208,0.525
P2-E5,clinical-sim,static-dp,3,20260000,0.820464,3.008339,0.52634,0.05268,0.54
P2-E5,clinical-sim,static-dp,6,20260000,0.824012,5.993563,0.534048,0.068096,0.554
P2-E5,clinical-sim,static-dp,10,20260000,0.824846,9.995506,0.536948,0.073896,0.553
P2-E5,clinical-sim,no-dp,0,20260101,0.7863,0,0.524672,0.049344,0.53
P2-E5,clinical-sim,static-dp,1,20260101,0.781683,1.033895,0.516848,0.033696,0.527
P2-E5,clinical-sim,static-dp,3,20260101,0.794252,3.008339,0.516056,0.032112,0.531
P2-E5,clinical-sim,static-dp,6,20260101,0.795938,5.993563,0.5167,0.0334,0.523
P2-E5,clinical-sim,static-dp,10,20260101,0.795955,9.995506,0.517264,0.034528,0.521
P2-E5,clinical-sim,no-dp,0,20260202,0.810367,0,0.499768,-0.000464,0.52
P2-E5,clinical-sim,static-dp,1,20260202,0.789325,1.033895,0.514808,0.029616,0.532
P2-E5,clinical-sim,static-dp,3,20260202,0.802587,3.008339,0.510156,0.020312,0.528
P2-E5,clinical-sim,static-dp,6,20260202,0.805179,5.993563,0.508784,0.017568,0.528
P2-E5,clinical-sim,static-dp,10,20260202,0.806152,9.995506,0.508472,0.016944,0.527
P2-E5,clinical-sim,no-dp,0,20260303,0.79908,0,0.523848,0.047696,0.529
P2-E5,clinical-sim,static-dp,1,20260303,0.757013,1.033895,0.49432,-0.01136,0.51
P2-E5,clinical-sim,static-dp,3,20260303,0.810659,3.008339,0.508068,0.016136,0.516
P2-E5,clinical-sim,static-dp,6,20260303,0.81121,5.993563,0.510732,0.021464,0.517
P2-E5,clinical-sim,static-dp,10,20260303,0.810335,9.995506,0.511732,0.023464,0.518
P2-E5,clinical-sim,no-dp,0,20260404,0.75587,0,0.57328,0.14656,0.57
P2-E5,clinical-sim,static-dp,1,20260404,0.521264,1.033895,0.604756,0.209512,0.591
P2-E5,clinical-sim,static-dp,3,20260404,0.678376,3.008339,0.59166,0.18332,0.578
P2-E5,clinical-sim,static-dp,6,20260404,0.717777,5.993563,0.584864,0.169728,0.577
P2-E5,clinical-sim,static-dp,10,20260404,0.73195,9.995506,0.581432,0.162864,0.574
P2-E5,clinical-sim,no-dp,0,20260505,0.815793,0,0.517396,0.034792,0.525
P2-E5,clinical-sim,static-dp,1,20260505,0.810041,1.033895,0.503848,0.007696,0.518
P2-E5,clinical-sim,static-dp,3,20260505,0.816231,3.008339,0.508344,0.016688,0.521
P2-E5,clinical-sim,static-dp,6,20260505,0.816712,5.993563,0.508552,0.017104,0.52
P2-E5,clinical-sim,static-dp,10,20260505,0.816448,9.995506,0.508316,0.016632,0.521
P2-E5,clinical-sim,no-dp,0,20260606,0.775435,0,0.552108,0.104216,0.545
P2-E5,clinical-sim,static-dp,1,20260606,0.765663,1.033895,0.527828,0.055656,0.53
P2-E5,clinical-sim,static-dp,3,20260606,0.782623,3.008339,0.531292,0.062584,0.529
P2-E5,clinical-sim,static-dp,6,20260606,0.786191,5.993563,0.533668,0.067336,0.529
P2-E5,clinical-sim,static-dp,10,20260606,0.786841,9.995506,0.535036,0.070072,0.531
P2-E5,clinical-sim,no-dp,0,20260707,0.817994,0,0.527228,0.054456,0.533
P2-E5,clinical-sim,static-dp,1,20260707,0.787215,1.033895,0.539644,0.079288,0.536
P2-E5,clinical-sim,static-dp,3,20260707,0.808914,3.008339,0.541372,0.082744,0.542
P2-E5,clinical-sim,static-dp,6,20260707,0.813163,5.993563,0.540276,0.080552,0.542
P2-E5,clinical-sim,static-dp,10,20260707,0.814071,9.995506,0.538944,0.077888,0.54
P2-E5,clinical-sim,no-dp,0,20260808,0.803279,0,0.4822,-0.0356,0.51
P2-E5,clinical-sim,static-dp,1,20260808,0.806118,1.033895,0.479188,-0.041624,0.506
P2-E5,clinical-sim,static-dp,3,20260808,0.807143,3.008339,0.481848,-0.036304,0.512
P2-E5,clinical-sim,static-dp,6,20260808,0.806388,5.993563,0.48288,-0.03424,0.509
P2-E5,clinical-sim,static-dp,10,20260808,0.805736,9.995506,0.4837,-0.0326,0.509
P2-E5,clinical-sim,no-dp,0,20260909,0.773178,0,0.63098,0.26196,0.611
P2-E5,clinical-sim,static-dp,1,20260909,0.675488,1.033895,0.577996,0.155992,0.588
P2-E5,clinical-sim,static-dp,3,20260909,0.722523,3.008339,0.607584,0.215168,0.608
P2-E5,clinical-sim,static-dp,6,20260909,0.728663,5.993563,0.61652,0.23304,0.612
P2-E5,clinical-sim,static-dp,10,20260909,0.731214,9.995506,0.62018,0.24036,0.612
P2-E5,clinical-sim,no-dp,0,20261010,0.79857,0,0.478208,-0.043584,0.505
P2-E5,clinical-sim,static-dp,1,20261010,0.721979,1.033895,0.464868,-0.070264,0.503
P2-E5,clinical-sim,static-dp,3,20261010,0.799259,3.008339,0.467144,-0.065712,0.504
P2-E5,clinical-sim,static-dp,6,20261010,0.802152,5.993563,0.46918,-0.06164,0.505
P2-E5,clinical-sim,static-dp,10,20261010,0.802564,9.995506,0.470036,-0.059928,0.505
P2-E5,clinical-sim,no-dp,0,20261111,0.784578,0,0.518852,0.037704,0.524
P2-E5,clinical-sim,static-dp,1,20261111,0.765213,1.033895,0.521828,0.043656,0.524
P2-E5,clinical-sim,static-dp,3,20261111,0.798489,3.008339,0.521456,0.042912,0.533
P2-E5,clinical-sim,static-dp,6,20261111,0.801286,5.993563,0.521324,0.042648,0.535
P2-E5,clinical-sim,static-dp,10,20261111,0.802383,9.995506,0.521216,0.042432,0.534
P2-E5,clinical-sim,no-dp,0,20261212,0.822766,0,0.518536,0.037072,0.531
P2-E5,clinical-sim,static-dp,1,20261212,0.798938,1.033895,0.501056,0.002112,0.513
P2-E5,clinical-sim,static-dp,3,20261212,0.816442,3.008339,0.513816,0.027632,0.524
P2-E5,clinical-sim,static-dp,6,20261212,0.819713,5.993563,0.51812,0.03624,0.529
P2-E5,clinical-sim,static-dp,10,20261212,0.820689,9.995506,0.519644,0.039288,0.528
P2-E5,clinical-sim,no-dp,0,20261313,0.817373,0,0.521076,0.042152,0.525
P2-E5,clinical-sim,static-dp,1,20261313,0.81285,1.033895,0.502316,0.004632,0.524
P2-E5,clinical-sim,static-dp,3,20261313,0.82334,3.008339,0.506188,0.012376,0.524
P2-E5,clinical-sim,static-dp,6,20261313,0.823664,5.993563,0.509508,0.019016,0.521
P2-E5,clinical-sim,static-dp,10,20261313,0.823306,9.995506,0.510364,0.020728,0.525
P2-E5,clinical-sim,no-dp,0,20261414,0.770017,0,0.563508,0.127016,0.563
P2-E5,clinical-sim,static-dp,1,20261414,0.77034,1.033895,0.566448,0.132896,0.558
P2-E5,clinical-sim,static-dp,3,20261414,0.779141,3.008339,0.562448,0.124896,0.561
P2-E5,clinical-sim,static-dp,6,20261414,0.780853,5.993563,0.559572,0.119144,0.559
P2-E5,clinical-sim,static-dp,10,20261414,0.781134,9.995506,0.55848,0.11696,0.555
