configuration_id,domain,utility,robustness,epsilon,runtime_ms,communication_bytes,evidence_complete
agg=fedavg|priv=no-dp,clinical-sim,0.800754,0.428071,0,32.9,28800,true
agg=fedavg|priv=no-dp,financial-sim,0.736038,0.454918,0,52.95,83200,true
agg=fedavg|priv=static-dp@6,clinical-sim,0.798407,0.394668,5.993563,36.45,28800,true
agg=fedavg|priv=static-dp@6,financial-sim,0.729605,0.443625,5.993563,61.15,83200,true
agg=fedavg|priv=static-dp@3,clinical-sim,0.793294,0.401665,3.008339,35.45,28800,true
agg=fedavg|priv=static-dp@3,financial-sim,0.727295,0.444502,3.008339,62.35,83200,true
agg=median|priv=no-dp,clinical-sim,0.786884,0.748674,0,31,28800,true
agg=median|priv=no-dp,financial-sim,0.73213,0.722924,0,54.35,83200,true
agg=median|priv=static-dp@6,clinical-sim,0.794832,0.755277,5.993563,36.75,28800,true
agg=median|priv=static-dp@6,financial-sim,0.72798,0.71084,5.993563,63.15,83200,true
agg=median|priv=static-dp@3,clinical-sim,0.790004,0.74899,3.008339,37.25,28800,true
agg=median|priv=static-dp@3,financial-sim,0.720651,0.699728,3.008339,61.85,83200,true
agg=trimmed-mean|priv=no-dp,clinical-sim,0.797921,0.547565,0,31.05,28800,true
agg=trimmed-mean|priv=no-dp,financial-sim,0.735604,0.62332,0,53.45,83200,true
agg=trimmed-mean|priv=static-dp@6,clinical-sim,0.796998,0.566448,5.993563,35.7,28800,true
agg=trimmed-mean|priv=static-dp@6,financial-sim,0.729282,0.661685,5.993563,61.7,83200,true
agg=trimmed-mean|priv=static-dp@3,clinical-sim,0.792462,0.590476,3.008339,36.05,28800,true
agg=trimmed-mean|priv=static-dp@3,financial-sim,0.72627,0.654651,3.008339,61.65,83200,true
agg=trust-weighted|priv=no-dp,clinical-sim,0.795979,0.755181,0,31.95,28800,true
agg=trust-weighted|priv=no-dp,financial-sim,0.735683,0.725569,0,56.35,83200,true
agg=trust-weighted|priv=static-dp@6,clinical-sim,0.79656,0.745064,5.993563,36.95,28800,true
agg=trust-weighted|priv=static-dp@6,financial-sim,0.72951,0.710496,5.993563,64.85,83200,true
agg=trust-weighted|priv=static-dp@3,clinical-sim,0.792665,0.747375,3.008339,36.4,28800,true
agg=trust-weighted|priv=static-dp@3,financial-sim,0.727138,0.700148,3.008339,67.15,83200,true
