configuration_id,domain,utility,utility_sd,robustness,robustness_sd,epsilon,runtime_ms,communication_bytes,evidence_complete,n_seeds
agg=fedavg|priv=no-dp,clinical-sim,0.800754,0.019978,0.428071,0.102704,0,32.9,28800,true,20
agg=fedavg|priv=no-dp,financial-sim,0.736038,0.016649,0.454918,0.102112,0,52.95,83200,true,20
agg=fedavg|priv=static-dp@6,clinical-sim,0.798407,0.028379,0.394668,0.078599,5.993563,36.45,28800,true,20
agg=fedavg|priv=static-dp@6,financial-sim,0.729605,0.016515,0.443625,0.092139,5.993563,61.15,83200,true,20
agg=fedavg|priv=static-dp@3,clinical-sim,0.793294,0.034746,0.401665,0.083186,3.008339,35.45,28800,true,20
agg=fedavg|priv=static-dp@3,financial-sim,0.727295,0.01689,0.444502,0.086559,3.008339,62.35,83200,true,20
agg=median|priv=no-dp,clinical-sim,0.786884,0.030319,0.748674,0.041409,0,31,28800,true,20
agg=median|priv=no-dp,financial-sim,0.73213,0.016091,0.722924,0.018886,0,54.35,83200,true,20
agg=median|priv=static-dp@6,clinical-sim,0.794832,0.031277,0.755277,0.052362,5.993563,36.75,28800,true,20
agg=median|priv=static-dp@6,financial-sim,0.72798,0.01791,0.71084,0.023337,5.993563,63.15,83200,true,20
agg=median|priv=static-dp@3,clinical-sim,0.790004,0.036798,0.74899,0.055288,3.008339,37.25,28800,true,20
agg=median|priv=static-dp@3,financial-sim,0.720651,0.018858,0.699728,0.030128,3.008339,61.85,83200,true,20
agg=trimmed-mean|priv=no-dp,clinical-sim,0.797921,0.020269,0.547565,0.163338,0,31.05,28800,true,20
agg=trimmed-mean|priv=no-dp,financial-sim,0.735604,0.016796,0.62332,0.100115,0,53.45,83200,true,20
agg=trimmed-mean|priv=static-dp@6,clinical-sim,0.796998,0.02997,0.566448,0.122582,5.993563,35.7,28800,true,20
agg=trimmed-mean|priv=static-dp@6,financial-sim,0.729282,0.016851,0.661685,0.067548,5.993563,61.7,83200,true,20
agg=trimmed-mean|priv=static-dp@3,clinical-sim,0.792462,0.034831,0.590476,0.133267,3.008339,36.05,28800,true,20
agg=trimmed-mean|priv=static-dp@3,financial-sim,0.72627,0.017193,0.654651,0.064405,3.008339,61.65,83200,true,20
agg=trust-weighted|priv=no-dp,clinical-sim,0.795979,0.023297,0.755181,0.053169,0,31.95,28800,true,20
agg=trust-weighted|priv=no-dp,financial-sim,0.735683,0.016674,0.725569,0.021051,0,56.35,83200,true,20
agg=trust-weighted|priv=static-dp@6,clinical-sim,0.79656,0.030874,0.745064,0.070767,5.993563,36.95,28800,true,20
agg=trust-weighted|priv=static-dp@6,financial-sim,0.72951,0.016586,0.710496,0.025455,5.993563,64.85,83200,true,20
agg=trust-weighted|priv=static-dp@3,clinical-sim,0.792665,0.036385,0.747375,0.065401,3.008339,36.4,28800,true,20
agg=trust-weighted|priv=static-dp@3,financial-sim,0.727138,0.016988,0.700148,0.02807,3.008339,67.15,83200,true,20
