configuration_id,source_domain,target_domain,target_evidence_present,target_assurance_pass,utility_regret_to_best_feasible,target_pareto_efficient,n_violations
agg=fedavg|priv=no-dp,clinical-sim,financial-sim,true,false,0,true,1
agg=fedavg|priv=no-dp,financial-sim,clinical-sim,true,false,0,true,1
agg=fedavg|priv=static-dp@6,clinical-sim,financial-sim,true,false,0.006078000000000028,false,2
agg=fedavg|priv=static-dp@6,financial-sim,clinical-sim,true,false,0,false,1
agg=fedavg|priv=static-dp@3,clinical-sim,financial-sim,true,false,0.008387999999999951,false,1
agg=fedavg|priv=static-dp@3,financial-sim,clinical-sim,true,false,0.003265999999999991,false,1
agg=median|priv=no-dp,clinical-sim,financial-sim,true,true,0.0035530000000000284,true,0
agg=median|priv=no-dp,financial-sim,clinical-sim,true,true,0.009676000000000018,true,0
agg=median|priv=static-dp@6,clinical-sim,financial-sim,true,false,0.007703000000000015,false,1
agg=median|priv=static-dp@6,financial-sim,clinical-sim,true,true,0.0017280000000000628,true,0
agg=median|priv=static-dp@3,clinical-sim,financial-sim,true,false,0.015031999999999934,false,1
agg=median|priv=static-dp@3,financial-sim,clinical-sim,true,true,0.006556000000000006,false,0
agg=trimmed-mean|priv=no-dp,clinical-sim,financial-sim,true,false,0.00007899999999994023,true,1
agg=trimmed-mean|priv=no-dp,financial-sim,clinical-sim,true,false,0,true,1
agg=trimmed-mean|priv=static-dp@6,clinical-sim,financial-sim,true,false,0.00640099999999999,false,2
agg=trimmed-mean|priv=static-dp@6,financial-sim,clinical-sim,true,false,0,true,1
agg=trimmed-mean|priv=static-dp@3,clinical-sim,financial-sim,true,false,0.009413000000000005,false,1
agg=trimmed-mean|priv=static-dp@3,financial-sim,clinical-sim,true,false,0.004098000000000046,false,1
agg=trust-weighted|priv=no-dp,clinical-sim,financial-sim,true,true,0,true,0
agg=trust-weighted|priv=no-dp,financial-sim,clinical-sim,true,true,0.0005810000000000537,true,0
agg=trust-weighted|priv=static-dp@6,clinical-sim,financial-sim,true,false,0.006172999999999984,false,1
agg=trust-weighted|priv=static-dp@6,financial-sim,clinical-sim,true,true,0,true,0
agg=trust-weighted|priv=static-dp@3,clinical-sim,financial-sim,true,true,0.008545000000000025,false,0
agg=trust-weighted|priv=static-dp@3,financial-sim,clinical-sim,true,true,0.003895000000000093,false,0
