Participant ID,Assessment Date,Age Group,Gender,Country,Highest Education Level,Employment Status,Career Stage,Years of Experience,Current Job Function,Industry / Sector,Current Role Level,Career Interest,Previous AI Exposure,TG Nexus Cohort,Overall Baseline Score,Strategic Thinking Pre,Problem Solving Pre,Decision Making Pre,Leadership Pre,Adaptability Pre,Digital Capability Pre,AI Knowledge Pre,AI Application Pre,AI Judgement Pre,Data Literacy Pre,Primary Gap Identified,Intervention Type,Personalised Intervention,AI-Supported Recommendation,Intervention Start Date,Intervention End Date,Learning / Contact Hours,Completion Rate %,Engagement Level,Reassessment Date,Overall Post Score,Strategic Thinking Post,Problem Solving Post,Decision Making Post,Leadership Post,Adaptability Post,Digital Capability Post,AI Knowledge Post,AI Application Post,AI Judgement Post,Data Literacy Post,Outcome / Progression,Notes
TGN-000318,2026-08-27,25–34,Male,Nigeria,Bachelor's,Employed,Early Career,0+,Technology & Digital,Technology & Digital,,Backend Developer,,,50.88,62.9,83.6,49.7,30.9,78.1,28.5,58.8,46.9,40.3,43.8,Leadership Potential,,,Yes,,,,,,2026-08-29,80.41,,,,,,,,,,,,
TGN-001210,2026-08-22,,Female,Nigeria,Bachelor's,Other,Early Career,0+,"Business, Management & Consulting",,,Business Analysis,,,39.09,47.2,22.0,47.0,20.3,77.9,75.4,40.3,32.4,22.0,33.8,Business Analysis,,,Yes,,,,,,2026-08-26,87.88,,,,,,,,,,,,
TGN-000079,2026-08-12,,Male,Nigeria,Diploma,Employed,Early Career,1+,Retail & Customer Services,,,Data Analysis,,,39.29,29.9,18.9,41.7,67.1,71.5,77.8,40.2,33.1,37.7,41.9,Cover Letter & Application Writing,,,Yes,,,,,,2026-08-26,85.15,,,,,,,,,,,,
TGN-001187,2026-08-22,25–34,Male,Nigeria,Bachelor's,Other,Early Career,0+,Technology & Digital,,,Backend Development,,,93.27,91.9,98.6,98.4,94.3,100.0,98.3,75.2,71.4,77.5,82.8,Cover Letter & Application Writing,,,Yes,,,,,,,,,,,,,,,,,,,
TGN-000747,2026-08-19,25–34,Male,Nigeria,Diploma,Other,Early Career,0,Technology & Digital,,,Frontend Development,,,98.95,99.7,100.0,92.9,98.7,100.0,100.0,84.0,82.6,84.6,87.7,CV / Resume Development,,,Yes,,,,,,,,,,,,,,,,,,,
TGN-000974,2026-08-20,25–34,Male,Nigeria,Bachelor's,Other,Early Career,0+,Technology & Digital,,,Frontend Development,,,79.05,77.6,85.0,73.2,85.1,86.7,89.1,66.2,55.8,78.7,78.7,Work-Life Balance & Personal Effectiveness,,,Yes,,,,,,,,,,,,,,,,,,,
TGN-000085,2026-08-12,18–24,Female,Nigeria,Bachelor's,Student,Early Career,0+,Student & Early Career,,,Data Analysis,,,79.35,71.1,90.6,79.9,88.6,88.1,90.8,60.7,47.8,73.3,71.2,Interview Readiness,,,Yes,,,,,,,,,,,,,,,,,,,
TGN-000131,2026-08-13,18–24,Male,Nigeria,Bachelor's,Other,Early Career,1+,Technology & Digital,,,Backend Development,,,95.33,100.0,100.0,100.0,94.5,93.0,95.6,76.0,73.7,86.6,74.9,Time Management & Productivity,,,Yes,,,,,,,,,,,,,,,,,,,
TGN-000190,2026-08-14,18–24,Male,Nigeria,Bachelor's,Employed,Early Career,0,Technology & Digital,,,Backend Development,,,90.65,89.0,94.7,92.2,92.0,96.7,100.0,75.1,83.8,69.9,77.2,LinkedIn & Digital Presence,,,Yes,,,,,,,,,,,,,,,,,,,
TGN-000669,2026-08-19,25–34,Female,Nigeria,Bachelor's,Student,Early Career,0+,Technology & Digital,,,Product (UX/UI) Design,,,80.77,82.9,96.5,82.9,89.5,45.0,43.9,63.4,60.3,67.4,70.6,Confidence & Professional Presence,,,Yes,,,,,,,,,,,,,,,,,,,
TGN-000942,2026-08-20,18–24,Male,Nigeria,Bachelor's,Other,Early Career,0+,Technology & Digital,,,Frontend Development,,,88.68,89.2,99.2,91.1,88.5,41.6,94.4,77.7,72.9,82.1,84.0,Self-Awareness & Personal Branding,,,Yes,,,,,,,,,,,,,,,,,,,
TGN-000150,2026-08-13,25–34,Male,Nigeria,Bachelor's,Employed,Early Career,0,Technology & Digital,,,Backend Development,,,79.21,80.5,42.3,84.4,86.7,92.4,87.5,72.0,71.9,64.8,56.8,Professional Communication,,,Yes,,,,,,,,,,,,,,,,,,,
TGN-001114,2026-08-21,18–24,Male,Nigeria,Bachelor's,Other,Early Career,0,Technology & Digital,,,Backend Development,,,93.07,100.0,99.3,96.9,100.0,100.0,100.0,76.8,81.2,80.9,82.9,LinkedIn & Digital Presence,,,Yes,,,,,,,,,,,,,,,,,,,
TGN-000492,2026-08-18,25–34,Male,Nigeria,Bachelor's,Other,Early Career,0+,Technology & Digital,,,Backend Development,,,90.29,82.4,98.8,84.0,97.8,94.4,99.5,79.7,73.6,75.9,81.7,Networking & Relationship Building,,,Yes,,,,,,,,,,,,,,,,,,,
TGN-000819,2026-08-19,18–24,Female,Nigeria,Bachelor's,Student,Early Career,0,Technology & Digital,,,Product (UX/UI) Design,,,92.93,84.0,38.8,96.9,94.6,95.5,41.4,69.5,71.8,73.4,73.9,AI & Digital Career Readiness,,,Yes,,,,,,,,,,,,,,,,,,,
