ISCO-08,ISCO Title,Official ILO GenAI Exposure Category,Exposure Ordinal (Analytical Recode),Recode Interpretation,Source URL
1120,Managing directors and chief executives,Minimal Exposure,1,Minimal Exposure,https://github.com/pgmyrek/2025_GenAI_scores_ISCO08/blob/main/output_data.json
1219,Business services and administration managers not elsewhere classified,Exposed: Gradient 2,3,Gradient 2,https://github.com/pgmyrek/2025_GenAI_scores_ISCO08/blob/main/output_data.json
1223,Research and development managers,Minimal Exposure,1,Minimal Exposure,https://github.com/pgmyrek/2025_GenAI_scores_ISCO08/blob/main/output_data.json
2163,Product and garment designers,Minimal Exposure,1,Minimal Exposure,https://github.com/pgmyrek/2025_GenAI_scores_ISCO08/blob/main/output_data.json
2166,Graphic and multimedia designers,Exposed: Gradient 2,3,Gradient 2,https://github.com/pgmyrek/2025_GenAI_scores_ISCO08/blob/main/output_data.json
2310,University and higher education teachers,Minimal Exposure,1,Minimal Exposure,https://github.com/pgmyrek/2025_GenAI_scores_ISCO08/blob/main/output_data.json
2411,Accountants,Exposed: Gradient 3,4,Gradient 3,https://github.com/pgmyrek/2025_GenAI_scores_ISCO08/blob/main/output_data.json
2413,Financial analysts,Exposed: Gradient 4,5,Gradient 4,https://github.com/pgmyrek/2025_GenAI_scores_ISCO08/blob/main/output_data.json
2421,Management and organization analysts,Exposed: Gradient 2,3,Gradient 2,https://github.com/pgmyrek/2025_GenAI_scores_ISCO08/blob/main/output_data.json
2422,Policy administration professionals,Minimal Exposure,1,Minimal Exposure,https://github.com/pgmyrek/2025_GenAI_scores_ISCO08/blob/main/output_data.json
2431,Advertising and marketing professionals,Exposed: Gradient 3,4,Gradient 3,https://github.com/pgmyrek/2025_GenAI_scores_ISCO08/blob/main/output_data.json
2511,Systems analysts,Exposed: Gradient 2,3,Gradient 2,https://github.com/pgmyrek/2025_GenAI_scores_ISCO08/blob/main/output_data.json
2512,Software developers,Exposed: Gradient 3,4,Gradient 3,https://github.com/pgmyrek/2025_GenAI_scores_ISCO08/blob/main/output_data.json
2513,Web and multimedia developers,Exposed: Gradient 4,5,Gradient 4,https://github.com/pgmyrek/2025_GenAI_scores_ISCO08/blob/main/output_data.json
2514,Applications programmers,Exposed: Gradient 3,4,Gradient 3,https://github.com/pgmyrek/2025_GenAI_scores_ISCO08/blob/main/output_data.json
2529,Database and network professionals not elsewhere classified,Exposed: Gradient 2,3,Gradient 2,https://github.com/pgmyrek/2025_GenAI_scores_ISCO08/blob/main/output_data.json
2641,Authors and related writers,Exposed: Gradient 3,4,Gradient 3,https://github.com/pgmyrek/2025_GenAI_scores_ISCO08/blob/main/output_data.json
2642,Journalists,Exposed: Gradient 3,4,Gradient 3,https://github.com/pgmyrek/2025_GenAI_scores_ISCO08/blob/main/output_data.json
4225,Enquiry clerks,Exposed: Gradient 3,4,Gradient 3,https://github.com/pgmyrek/2025_GenAI_scores_ISCO08/blob/main/output_data.json
