Participant ID,Career Interest,ISCO-08,ISCO Title,Mapping Confidence,ILO GenAI Exposure Category,Exposure Ordinal (Analytical Recode),Conventional Capability Index,AI/Data Capability Index,Capability Gap
TGN-000318,Backend Developer,2512,Software developers,High,Exposed: Gradient 3,4,55.6167,47.45,8.1667
TGN-001210,Business Analysis,2421,Management and organization analysts,High,Exposed: Gradient 2,3,48.3,32.125,16.175
TGN-000079,Data Analysis,2511,Systems analysts,Medium,Exposed: Gradient 2,3,51.15,38.225,12.925
TGN-001187,Backend Development,2512,Software developers,High,Exposed: Gradient 3,4,96.9167,76.725,20.1917
TGN-000747,Frontend Development,2513,Web and multimedia developers,High,Exposed: Gradient 4,5,98.55,84.725,13.825
TGN-000974,Frontend Development,2513,Web and multimedia developers,High,Exposed: Gradient 4,5,82.7833,69.85,12.9333
TGN-000085,Data Analysis,2511,Systems analysts,Medium,Exposed: Gradient 2,3,84.85,63.25,21.6
TGN-000131,Backend Development,2512,Software developers,High,Exposed: Gradient 3,4,97.1833,77.8,19.3833
TGN-000190,Backend Development,2512,Software developers,High,Exposed: Gradient 3,4,94.1,76.5,17.6
TGN-000669,Product (UX/UI) Design,2166,Graphic and multimedia designers,Medium,Exposed: Gradient 2,3,73.45,65.425,8.025
TGN-000942,Frontend Development,2513,Web and multimedia developers,High,Exposed: Gradient 4,5,84,79.175,4.825
TGN-000150,Backend Development,2512,Software developers,High,Exposed: Gradient 3,4,78.9667,66.375,12.5917
TGN-001114,Backend Development,2512,Software developers,High,Exposed: Gradient 3,4,99.3667,80.45,18.9167
TGN-000492,Backend Development,2512,Software developers,High,Exposed: Gradient 3,4,92.8167,77.725,15.0917
TGN-000819,Product (UX/UI) Design,2166,Graphic and multimedia designers,Medium,Exposed: Gradient 2,3,75.2,72.15,3.05
TGN-000241,Frontend Developer,2513,Web and multimedia developers,High,Exposed: Gradient 4,5,90.7667,64.725,26.0417
TGN-000254,Frontend Development,2513,Web and multimedia developers,High,Exposed: Gradient 4,5,79.7667,65.65,14.1167
TGN-000599,Product (UX/UI) Design,2166,Graphic and multimedia designers,Medium,Exposed: Gradient 2,3,84.3,74.875,9.425
TGN-000572,Data Science,2511,Systems analysts,Medium,Exposed: Gradient 2,3,93.6,79.5,14.1
TGN-000781,Backend Development,2512,Software developers,High,Exposed: Gradient 3,4,97.0167,72.125,24.8917
TGN-000704,Backend Development,2512,Software developers,High,Exposed: Gradient 3,4,94.9,72.95,21.95
TGN-000556,Business Analysis,2421,Management and organization analysts,High,Exposed: Gradient 2,3,98.5167,77.7,20.8167
TGN-000237,Frontend Development,2513,Web and multimedia developers,High,Exposed: Gradient 4,5,98.2667,79.175,19.0917
TGN-001300,Backend Development,2512,Software developers,High,Exposed: Gradient 3,4,79.1667,69.3,9.8667
