Variable,Category,N,% of baseline sample
Age Group,Missing,122,61.0
Age Group,18–24,41,20.5
Age Group,25–34,35,17.5
Age Group,35–44,2,1.0
Gender,Male,100,50.0
Gender,Missing,66,33.0
Gender,Female,34,17.0
Country,Nigeria,186,93.0
Country,Lagos,3,1.5
Country,Ghana,2,1.0
Country,lagos,1,0.5
Country,Kenya,1,0.5
Country,Lagos state,1,0.5
Country,Enugu,1,0.5
Country,"Adamawa state, Yola south",1,0.5
Country,"Ogba, Lagos",1,0.5
Country,"Ogun, Nigeria",1,0.5
Country,Egypt,1,0.5
Country,Ethiopia,1,0.5
Highest Education Level,Bachelor's,156,78.0
Highest Education Level,Missing,23,11.5
Highest Education Level,Diploma,10,5.0
Highest Education Level,Professional,5,2.5
Highest Education Level,Master's,4,2.0
Highest Education Level,Associate,2,1.0
Employment Status,Other,74,37.0
Employment Status,Missing,66,33.0
Employment Status,Student,37,18.5
Employment Status,Employed,15,7.5
Employment Status,Self-employed,8,4.0
Career Stage,Early Career,169,84.5
Career Stage,Missing,22,11.0
Career Stage,Mid-Career,9,4.5
Current Job Function,Technology & Digital,112,56.0
Current Job Function,Student & Early Career,20,10.0
Current Job Function,"Business, Management & Consulting",17,8.5
Current Job Function,Entrepreneurship & Business Ownership,6,3.0
Current Job Function,Creative Industries & Media,4,2.0
Current Job Function,Finance & Banking,3,1.5
Current Job Function,"Marketing, Sales & Communications",3,1.5
Current Job Function,Full-Stack Developer,3,1.5
Current Job Function,Business Analyst,3,1.5
Current Job Function,Student,2,1.0
Current Job Function,Healthcare,2,1.0
Current Job Function,Engineering & Construction,2,1.0
Current Job Function,Retail & Customer Services,1,0.5
Current Job Function,Tech Savvy,1,0.5
Current Job Function,others: Product design,1,0.5
Current Job Function,Software developer,1,0.5
Current Job Function,Business Operations Manager,1,0.5
Current Job Function,Manufacturing & Logistics,1,0.5
Current Job Function,Technical Writer,1,0.5
Current Job Function,Skilled Trades & Technical Services,1,0.5
Current Job Function,others: Industry Creative Design/ Digital Media,1,0.5
Current Job Function,Software developer and GIS analyst,1,0.5
Current Job Function,Graphics designer,1,0.5
Current Job Function,Social Media Manager,1,0.5
Current Job Function,Content Creator,1,0.5
Current Job Function,tech tutor,1,0.5
Current Job Function,Customer support,1,0.5
Current Job Function,Product (UX/UI) Designer,1,0.5
Current Job Function,Backend Developer,1,0.5
Current Job Function,Business Operation Support,1,0.5
Current Job Function,Unemployed,1,0.5
Current Job Function,Social media manager,1,0.5
Current Job Function,others: Product Designing,1,0.5
Current Job Function,Education & Research,1,0.5
Current Job Function,others: Telecommunications,1,0.5
