Variable,Missing N,Observed N,Missing %
Participant ID,0,200,0.0
Assessment Date,0,200,0.0
Age Group,122,78,61.0
Gender,66,134,33.0
Country,0,200,0.0
Highest Education Level,23,177,11.5
Employment Status,66,134,33.0
Career Stage,22,178,11.0
Years of Experience,22,178,11.0
Current Job Function,0,200,0.0
Industry / Sector,166,34,83.0
Current Role Level,200,0,100.0
Career Interest,2,198,1.0
Previous AI Exposure,200,0,100.0
TG Nexus Cohort,200,0,100.0
Overall Baseline Score,0,200,0.0
Strategic Thinking Pre,0,200,0.0
Problem Solving Pre,0,200,0.0
Decision Making Pre,0,200,0.0
Leadership Pre,0,200,0.0
Adaptability Pre,0,200,0.0
Digital Capability Pre,0,200,0.0
AI Knowledge Pre,0,200,0.0
AI Application Pre,0,200,0.0
AI Judgement Pre,0,200,0.0
Data Literacy Pre,0,200,0.0
Primary Gap Identified,44,156,22.0
Intervention Type,200,0,100.0
Personalised Intervention,200,0,100.0
AI-Supported Recommendation,6,194,3.0
Intervention Start Date,200,0,100.0
Intervention End Date,200,0,100.0
Learning / Contact Hours,200,0,100.0
Completion Rate %,200,0,100.0
Engagement Level,200,0,100.0
Reassessment Date,188,12,94.0
Overall Post Score,188,12,94.0
Strategic Thinking Post,200,0,100.0
Problem Solving Post,200,0,100.0
Decision Making Post,200,0,100.0
Leadership Post,200,0,100.0
Adaptability Post,200,0,100.0
Digital Capability Post,200,0,100.0
AI Knowledge Post,200,0,100.0
AI Application Post,200,0,100.0
AI Judgement Post,200,0,100.0
Data Literacy Post,200,0,100.0
Outcome / Progression,200,0,100.0
Notes,200,0,100.0
