Component,Observed eigenvalue,95th percentile random eigenvalue,Retain
1,7.141633794737593,1.4763388805891418,Yes
2,0.6580908619735738,1.3266442649239967,No
3,0.5508881047873871,1.2280855308916134,No
4,0.48466466395194946,1.1446513717131108,No
5,0.45599653741445,1.0695402672502436,No
6,0.22749050189410708,1.004127278700606,No
7,0.16980856159542895,0.9373333307270698,No
8,0.13158130738348553,0.878154142181213,No
9,0.11489188032005354,0.8105352619762333,No
10,0.06495378594197258,0.7371344746065921,No
