Variable A,Variable B,Pearson r,Pearson p,Spearman rho,Spearman p
Conventional capability,Exposure ordinal,0.309962095153046,8.835172459820744e-06,0.24382191554362936,0.0005370823267860218
AI/Data capability,Exposure ordinal,0.2780029059059396,7.323149472212242e-05,0.22262267392132473,0.0016193402206659934
AI/Data capability,Conventional capability,0.918739723027052,4.958029676018234e-81,0.8347340549065392,1.1089116399081569e-52
AI/Data capability,Capability gap,0.16700407339769152,0.018692058741445847,-0.12751453219471554,0.07341483642077454
AI/Data capability,Assessment day,-0.08243711654967342,0.24824817017912895,-0.12884353916716043,0.07044198873750109
Capability gap,Exposure ordinal,0.1826358838634193,0.010014136918957247,0.10522522132861287,0.140111951576756
Capability gap,Conventional capability,0.5427515662644213,1.4570644336400696e-16,0.3551241890946332,2.8406677268558573e-07
Assessment day,Exposure ordinal,-0.004203363509364405,0.9531334422723141,-0.00175956396373401,0.9803720140859866
Assessment day,Conventional capability,-0.07946160855803044,0.26579215620461366,-0.10824303164885318,0.1290309865168171
Assessment day,Capability gap,-0.023064378127543955,0.7470492349096408,0.027258020915494122,0.7030572919448386
