Model,Term,B,SE,95% CI lower,95% CI upper,p-value,R-squared,N,SE type
M1 AI absolute ~ high exposure,Intercept,65.24280821917807,0.929303605712761,63.290413791860665,67.19520264649547,2.0770231079817604e-23,0.07695564639260466,198.0,cluster
M1 AI absolute ~ high exposure,High exposure (G3/G4),7.212791780821921,1.007633615475333,5.09583210958203,9.329751452061812,1.1497162274145333e-06,0.07695564639260466,198.0,cluster
M2 AI absolute ~ high exposure + conventional,Intercept,2.1797569943139394,3.1829360985232684,-4.507343607752416,8.866857596380294,0.5021777025079605,0.8440998343385813,198.0,cluster
M2 AI absolute ~ high exposure + conventional,High exposure (G3/G4),0.11280546567131511,1.117141527138962,-2.234221790763462,2.4598327221060923,0.9206850808793186,0.8440998343385813,198.0,cluster
M2 AI absolute ~ high exposure + conventional,Conventional capability,0.7815344514657283,0.033813348143491934,0.7104952430967227,0.8525736598347339,7.819654364599939e-15,0.8440998343385813,198.0,cluster
M3 gap ~ high exposure,Intercept,15.44851780821918,1.4624791923167715,12.375963039686962,18.521072576751397,3.8181937982990706e-09,0.023450113774613146,198.0,cluster
M3 gap ~ high exposure,High exposure (G3/G4),1.8718829917808235,1.4668399220746915,-1.2098333300113429,4.95359931357299,0.21812971103738538,0.023450113774613146,198.0,cluster
M4 gap ~ high exposure + conventional,Intercept,-2.1797569943139368,3.182936098523287,-8.866857596380331,4.507343607752459,0.5021777025079635,0.29465688052385863,198.0,cluster
M4 gap ~ high exposure + conventional,High exposure (G3/G4),-0.11280546567129357,1.1171415271389573,-2.4598327221060607,2.234221790763474,0.9206850808793333,0.29465688052385863,198.0,cluster
M4 gap ~ high exposure + conventional,Conventional capability,0.21846554853427208,0.03381334814349221,0.1474263401652659,0.28950475690327826,4.446405781736091e-06,0.29465688052385863,198.0,cluster
M5 residual AI readiness ~ high exposure,Intercept,-0.0649065735088338,1.1420729283554891,-2.464312760253505,2.3344996132358373,0.9553049503947423,0.00010028293945474331,198.0,cluster
M5 residual AI readiness ~ high exposure,High exposure (G3/G4),0.10281201243797145,1.1461095192480657,-2.30507473708035,2.5106987619562933,0.92951209002485,0.00010028293945474331,198.0,cluster
M6 AI absolute ~ exposure ordinal,Intercept,56.41161616161617,4.427662313425913,47.10944282059505,65.7137895026373,1.9127518397900574e-10,0.07728561569214676,198.0,cluster
M6 AI absolute ~ exposure ordinal,Exposure ordinal,3.4916666666666663,1.0756408711827723,1.2318290530147085,5.751504280318624,0.004483501446574046,0.07728561569214676,198.0,cluster
M7 AI absolute ~ exposure ordinal + conventional,Intercept,2.3456227557528955,3.6558857067613877,-5.335108102184289,10.02635361369008,0.5292180910136478,0.8441334067921764,198.0,cluster
M7 AI absolute ~ exposure ordinal + conventional,Exposure ordinal,-0.09408968298475431,0.43368779780532346,-1.0052339359775573,0.8170545700080487,0.830685336591155,0.8441334067921764,198.0,cluster
M7 AI absolute ~ exposure ordinal + conventional,Conventional capability,0.7846125191772532,0.033783271626773186,0.7136364992251156,0.8555885391293907,7.188939882500896e-15,0.8441334067921764,198.0,cluster
M8 gap ~ exposure ordinal,Intercept,12.49627414652858,2.564308709728904,7.1088614602770654,17.883686832780093,0.0001222641411112778,0.03335586607457253,198.0,cluster
M8 gap ~ exposure ordinal,Exposure ordinal,1.0784316455696203,0.5584055486925514,-0.09473487907145128,2.251598170210692,0.0693519147616201,0.03335586607457253,198.0,cluster
M9 gap ~ exposure ordinal + conventional,Intercept,-2.3456227557528684,3.65588570676137,-10.026353613690016,5.335108102184279,0.5292180910136505,0.29480877323703725,198.0,cluster
M9 gap ~ exposure ordinal + conventional,Exposure ordinal,0.09408968298476234,0.43368779780532213,-0.8170545700080378,1.0052339359775626,0.8306853365911403,0.29480877323703725,198.0,cluster
M9 gap ~ exposure ordinal + conventional,Conventional capability,0.2153874808227466,0.033783271626772846,0.14441146087060983,0.2863635007748834,5.270926207410135e-06,0.29480877323703725,198.0,cluster
