Participant ID,Cooks distance,Exposure ordinal,Conventional,AI/Data,Gap
TGN-001383,0.07147245717611787,3.0,73.1333,40.85,32.283300000000004
TGN-001257,0.06624027024975643,1.0,38.6333,41.0,-2.3667000000000016
TGN-001318,0.03710691229704978,3.0,2.2167,0.575,1.6417
TGN-001210,0.03585419832625358,3.0,48.3,32.125,16.174999999999997
TGN-000040,0.03255121824335851,3.0,69.4333,68.225,1.2083000000000084
TGN-000090,0.03172699678235201,3.0,52.4667,35.125,17.341700000000003
TGN-000619,0.02929697494191472,3.0,60.7167,58.975,1.7417000000000016
TGN-000894,0.025121201310007668,3.0,94.2,65.875,28.325000000000003
TGN-000819,0.025002616718689884,3.0,75.2,72.15,3.049999999999997
TGN-000340,0.024450532011040735,5.0,53.85,37.975,15.875
TGN-001411,0.02238428483141945,3.0,69.3667,66.15,3.216699999999989
TGN-000962,0.021603471350123915,3.0,97.6167,87.05,10.566699999999997
TGN-000272,0.021371095062328416,4.0,77.3333,74.15,3.1832999999999885
TGN-001005,0.02018436342051078,5.0,71.0,48.525,22.475
TGN-000234,0.019974339862688664,4.0,75.1167,71.375,3.7416999999999945
