Participant ID,Baseline,Post,Gain,Days to reassessment
TGN-000318,50.88,80.41,29.529999999999994,2
TGN-001210,39.09,87.88,48.78999999999999,4
TGN-000079,39.29,85.15,45.86000000000001,14
TGN-001171,72.45,78.7,6.25,5
TGN-001531,52.43,78.43,26.000000000000007,0
TGN-000426,69.37,77.55,8.179999999999993,10
TGN-001508,73.0,83.0,10.0,0
TGN-001226,58.0,99.0,41.0,0
TGN-001318,0.0,78.45,78.45,3
TGN-000330,56.86,85.98,29.120000000000005,10
TGN-001257,49.12,50.46,1.3400000000000034,4
TGN-001005,60.55,67.62,7.070000000000007,7
