Variable,N,Mean,SD,Median,Min,Max,% at or above 90,% equal to 100,Skewness,Distinct values
Strategic Thinking Pre,198,83.734343,16.129490,87.700000,0.000000,100.000000,41.414141,10.606061,-2.067657,142
Problem Solving Pre,198,88.504545,18.560181,94.400000,1.000000,100.000000,73.737374,18.181818,-2.617976,118
Decision Making Pre,198,83.971212,15.678581,87.750000,4.000000,100.000000,41.919192,9.595960,-1.797448,146
Leadership Pre,198,85.456061,20.351536,91.850000,5.700000,100.000000,64.141414,5.555556,-2.480770,125
Adaptability Pre,198,87.568687,20.686844,95.050000,1.000000,100.000000,72.727273,20.202020,-2.376879,105
Digital Capability Pre,198,89.324747,19.457987,95.600000,1.000000,100.000000,79.292929,20.707071,-2.780653,108
AI Knowledge Pre,198,70.470202,13.650004,72.600000,0.000000,98.000000,1.515152,0.000000,-1.704977,156
AI Application Pre,198,67.306566,13.259369,69.850000,2.300000,93.900000,1.010101,0.000000,-1.515649,153
AI Judgement Pre,198,70.437879,13.993821,72.300000,0.000000,95.400000,2.525253,0.000000,-1.597543,155
Data Literacy Pre,198,70.970707,13.396838,73.650000,0.000000,94.800000,1.515152,0.000000,-1.561715,155
Conventional Capability Index,198,86.426601,14.762754,90.775000,2.216700,100.000000,53.030303,0.505051,-2.414509,190
AI/Data Capability Index,198,69.796338,12.575750,72.675000,0.575000,88.525000,0.000000,0.000000,-2.044343,178
Capability Gap,198,16.630262,5.912307,17.475000,-2.366700,32.283300,0.000000,0.000000,-0.650040,193
Overall Baseline Score,198,84.386364,15.307202,87.930000,0.000000,100.000000,43.939394,4.545455,-2.219847,167
