Statistic,Value
Participants with AI/data index above conventional index,1.000000
Maximum AI/data index,88.525000
Maximum conventional index,100.000000
% with conventional index above the maximum AI/data index,58.585859
Pearson r overall baseline with ten-dimension mean,0.967001
Pearson r overall baseline with conventional index,0.937738
Pearson r overall baseline with AI/data index,0.967932
OLS weight of conventional index in overall baseline,0.322272
OLS weight of AI/data index in overall baseline,0.830592
Mean overall baseline minus ten-dimension mean,4.611869
