Rule,Model,N,Clusters,B,CR1 SE,CR1 CI lower,CR1 CI upper,CR1 p,WCR Webb p,R-squared
Full mapped sample,M1 AI/data on high exposure,198,19,7.212792,1.007634,5.095832,9.329751,0.000001,0.001000,0.076956
Full mapped sample,M2 AI/data on high exposure and conventional,198,19,0.112805,1.117142,-2.234222,2.459833,0.920685,0.947495,0.844100
Full mapped sample,M3 gap on high exposure,198,19,1.871883,1.466840,-1.209833,4.953599,0.218130,0.325233,0.023450
Exclude overall baseline score of zero,M1 AI/data on high exposure,197,19,6.314628,1.355734,3.466337,9.162918,0.000196,0.002600,0.069161
Exclude overall baseline score of zero,M2 AI/data on high exposure and conventional,197,19,0.131004,1.101225,-2.182583,2.444591,0.906623,0.942294,0.816105
Exclude overall baseline score of zero,M3 gap on high exposure,197,19,1.680122,1.488743,-1.447612,4.807855,0.273905,0.362236,0.019362
Exclude any dimension score below 10,M1 AI/data on high exposure,195,17,5.133457,1.086850,2.829439,7.437476,0.000230,0.003100,0.053357
Exclude any dimension score below 10,M2 AI/data on high exposure and conventional,195,17,0.121443,1.105363,-2.221821,2.464707,0.913881,0.944094,0.781912
Exclude any dimension score below 10,M3 gap on high exposure,195,17,1.401352,1.494724,-1.767322,4.570027,0.362422,0.425143,0.013743
Exclude modified z below -3.5 on either index,M1 AI/data on high exposure,182,17,2.551805,0.927889,0.584768,4.518842,0.014231,0.063906,0.023861
Exclude modified z below -3.5 on either index,M2 AI/data on high exposure and conventional,182,17,0.269986,1.068620,-1.995386,2.535359,0.803756,0.894389,0.601151
Exclude modified z below -3.5 on either index,M3 gap on high exposure,182,17,0.397623,1.366947,-2.500176,3.295422,0.774877,0.771577,0.001291
Exclude participants flagged by any rule,M1 AI/data on high exposure,182,17,2.551805,0.927889,0.584768,4.518842,0.014231,0.066607,0.023861
Exclude participants flagged by any rule,M2 AI/data on high exposure and conventional,182,17,0.269986,1.068620,-1.995386,2.535359,0.803756,0.896990,0.601151
Exclude participants flagged by any rule,M3 gap on high exposure,182,17,0.397623,1.366947,-2.500176,3.295422,0.774877,0.770377,0.001291
