Rule,Group,N,Conventional median,Conventional Q1,Conventional Q3,Conventional 10% trimmed mean,AI/data median,AI/data Q1,AI/data Q3,AI/data 10% trimmed mean,Gap median,Gap Q1,Gap Q3,Gap 10% trimmed mean
Full mapped sample,Minimal Exposure,9,87.616700,38.633300,92.700000,72.035189,64.600000,41.000000,79.225000,59.841667,13.950000,8.325000,16.975000,12.193522
Full mapped sample,Exposed: Gradient 2,64,86.925000,75.483350,93.920850,84.712181,69.037500,63.231250,75.650000,68.157212,16.733350,11.179150,21.058300,16.166188
Full mapped sample,Exposed: Gradient 3,67,93.950000,86.091700,96.241700,91.036058,73.875000,68.637500,77.762500,73.293182,18.325000,14.933350,20.116650,17.735151
Full mapped sample,Exposed: Gradient 4,58,93.366650,87.737475,96.404200,91.751044,74.950000,67.775000,79.450000,73.851562,17.120800,14.118775,20.508300,17.433506
Full mapped sample,Low exposure [Minimal and Gradient 2],73,87.133300,75.233300,93.866700,84.056781,68.850000,63.175000,76.100000,67.662712,16.200000,10.566700,20.908300,15.771331
Full mapped sample,High exposure [Gradients 3 and 4],125,93.433300,87.016700,96.316700,91.489768,74.150000,67.850000,78.650000,73.536634,18.008300,14.783300,20.191700,17.607095
Exclude participants flagged by any rule,Minimal Exposure,6,92.350000,88.712525,95.325000,91.386117,78.987500,68.137500,79.300000,74.662500,16.112500,14.275000,18.100000,16.723617
Exclude participants flagged by any rule,Exposed: Gradient 2,55,89.816700,82.266700,94.158350,88.296667,69.900000,65.725000,76.662500,71.168889,17.208300,14.191700,21.533350,17.452593
Exclude participants flagged by any rule,Exposed: Gradient 3,65,93.983300,87.233300,96.316700,91.594966,74.150000,69.350000,77.800000,73.658962,18.566700,15.091700,20.133300,18.022640
Exclude participants flagged by any rule,Exposed: Gradient 4,56,93.508300,87.849975,96.491700,92.176089,75.175000,68.000000,79.531250,74.297826,17.600000,14.122925,20.860400,17.606339
Exclude participants flagged by any rule,Low exposure [Minimal and Gradient 2],61,89.850000,82.916700,94.200000,88.742518,72.150000,65.575000,77.700000,71.544388,17.033300,14.166700,21.475000,17.398302
Exclude participants flagged by any rule,High exposure [Gradients 3 and 4],121,93.700000,87.733300,96.466700,91.993641,74.675000,68.900000,78.650000,73.923711,18.158300,14.900000,20.283300,17.835652
