ISCO-08,ISCO title,ILO category,N,High exposure,Share of mapped sample %
2513,Web and multimedia developers,Exposed: Gradient 4,57,1.000000,28.787879
2512,Software developers,Exposed: Gradient 3,52,1.000000,26.262626
2431,Advertising and marketing professionals,Exposed: Gradient 3,8,1.000000,4.040404
2411,Accountants,Exposed: Gradient 3,2,1.000000,1.010101
2642,Journalists,Exposed: Gradient 3,2,1.000000,1.010101
2413,Financial analysts,Exposed: Gradient 4,1,1.000000,0.505051
2514,Applications programmers,Exposed: Gradient 3,1,1.000000,0.505051
2641,Authors and related writers,Exposed: Gradient 3,1,1.000000,0.505051
4225,Enquiry clerks,Exposed: Gradient 3,1,1.000000,0.505051
2166,Graphic and multimedia designers,Exposed: Gradient 2,21,0.000000,10.606061
2421,Management and organization analysts,Exposed: Gradient 2,20,0.000000,10.101010
2511,Systems analysts,Exposed: Gradient 2,17,0.000000,8.585859
2422,Policy administration professionals,Minimal Exposure,4,0.000000,2.020202
2529,Database and network professionals not elsewhere classified,Exposed: Gradient 2,4,0.000000,2.020202
1219,Business services and administration managers not elsewhere classified,Exposed: Gradient 2,2,0.000000,1.010101
1223,Research and development managers,Minimal Exposure,2,0.000000,1.010101
1120,Managing directors and chief executives,Minimal Exposure,1,0.000000,0.505051
2163,Product and garment designers,Minimal Exposure,1,0.000000,0.505051
2310,University and higher education teachers,Minimal Exposure,1,0.000000,0.505051
