Statistic,Value
Occupation clusters,19.000000
High-exposure clusters,9.000000
Largest cluster share %,28.787879
"Kish effective clusters, all",5.443488
"Kish effective clusters, high exposure",2.591640
"Kish effective clusters, low exposure",4.543052
"G* for high exposure in M1, rho 0.0",7.133779
"G* for high exposure in M1, rho 0.5",4.238213
"G* for high exposure in M1, rho 1.0",4.142370
"G* for high exposure in M2, rho 0.0",6.890657
"G* for high exposure in M2, rho 0.5",4.321298
"G* for high exposure in M2, rho 1.0",4.221285
